GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1983;14625330;      Lohsa;12,7
1983;14625340;      Malschwitz;15,5
1983;14625350;      Nebelschütz;7,0
1983;14625360;      Neschwitz;12,2
1983;14625370;      Neukirch;10,8
1983;14625380;      Neukirch/Lausitz;12,5
1983;14625390;      Obergurig;16,6
1983;14625410;      Ohorn;27,8
1983;14625420;      Oßling;8,6
1983;14625430;      Ottendorf-Okrilla;13,8
1983;14625440;      Panschwitz-Kuckau;11,9
1983;14625450;      Pulsnitz, Stadt;12,2
1983;14625460;      Puschwitz;9,2
1983;14625470;      Räckelwitz;11,1
1983;14625480;      Radeberg, Stadt;13,0
1983;14625490;      Radibor;10,3
1983;14625500;      Ralbitz-Rosenthal;6,3
1983;14625510;      Rammenau;11,4
1983;14625525;      Schirgiswalde-Kirschau, Stadt;17,2
1983;14625530;      Schmölln-Putzkau;12,1
1983;14625550;      Schwepnitz;12,7
1983;14625560;      Sohland a. d. Spree;16,9
1983;14625570;      Spreetal;14,7
1983;14625580;      Steina;14,3
1983;14625590;      Steinigtwolmsdorf;12,4
1983;14625600;      Wachau;13,2
1983;14625610;      Weißenberg, Stadt;15,1
1983;14625630;      Wilthen, Stadt;13,6
1983;14625640;      Wittichenau, Stadt;15,5
1983;14626;    Görlitz, Landkreis;14,3
1983;14626010;      Bad Muskau, Stadt;17,8
1983;14626020;      Beiersdorf;16,9
1983;14626030;      Bernstadt a. d. Eigen, Stadt;13,8
1983;14626050;      Bertsdorf-Hörnitz;18,5
1983;14626060;      Boxberg/O.L.;10,0
1983;14626070;      Dürrhennersdorf;17,4
1983;14626085;      Ebersbach-Neugersdorf, Stadt;14,3
1983;14626100;      Gablenz;13,3
1983;14626110;      Görlitz, Stadt;15,0
1983;14626120;      Groß Düben;10,6
1983;14626140;      Großschönau;15,2
1983;14626150;      Großschweidnitz;18,0
1983;14626160;      Hähnichen;11,5
1983;14626170;      Hainewalde;14,6
1983;14626180;      Herrnhut, Stadt;18,3
1983;14626190;      Hohendubrau;16,9
1983;14626200;      Horka;11,4
1983;14626210;      Jonsdorf, Kurort;16,1
1983;14626230;      Kodersdorf;11,7
1983;14626240;      Königshain;13,6
1983;14626245;      Kottmar;20,6
1983;14626250;      Krauschwitz i.d. O.L.;16,2
1983;14626260;      Kreba-Neudorf;14,2
1983;14626270;      Lawalde;12,2
1983;14626280;      Leutersdorf;13,9
1983;14626290;      Löbau, Stadt;10,9
1983;14626300;      Markersdorf;12,0
1983;14626310;      Mittelherwigsdorf;16,7
1983;14626320;      Mücka;11,5
1983;14626330;      Neißeaue;9,8
1983;14626350;      Neusalza-Spremberg, Stadt;20,1
1983;14626370;      Niesky, Stadt;11,6
1983;14626390;      Oderwitz;17,7
1983;14626400;      Olbersdorf;15,5
1983;14626410;      Oppach;13,7
1983;14626420;      Ostritz, Stadt;20,2
1983;14626430;      Oybin;13,5
1983;14626440;      Quitzdorf am See;23,4
1983;14626450;      Reichenbach/O.L., Stadt;17,1
1983;14626460;      Rietschen;14,5
1983;14626470;      Rosenbach;15,4
1983;14626480;      Rothenburg/O.L., Stadt;15,3
1983;14626490;      Schleife;10,3
1983;14626500;      Schönau-Berzdorf a. d. Eigen;11,3
1983;14626510;      Schönbach;14,5
1983;14626520;      Schöpstal;14,9
1983;14626530;      Seifhennersdorf, Stadt;17,9
1983;14626560;      Trebendorf;9,7
1983;14626570;      Vierkirchen;9,4
1983;14626580;      Waldhufen;11,3
1983;14626590;      Weißkeißel;9,6
1983;14626600;      Weißwasser/O.L., Stadt;8,7
1983;14626610;      Zittau, Stadt;15,5
1983;14627;    Meißen, Landkreis;14,0
1983;14627010;      Coswig, Stadt;14,0
1983;14627020;      Diera-Zehren;15,0
1983;14627030;      Ebersbach (Landkreis Meißen);19,5
1983;14627040;      Glaubitz;18,3
1983;14627050;      Gröditz, Stadt;11,7
1983;14627060;      Großenhain, Stadt;13,2
1983;14627070;      Hirschstein;11,3
1983;14627080;      Käbschütztal;14,0
1983;14627100;      Klipphausen;13,1
1983;14627110;      Lampertswalde;11,3
