"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"District of Columbia","11","Dec., 2017","2017/12",108,Not Applicable,Not Applicable
,"District of Columbia","11","Jan., 2018","2018/01",146,Not Applicable,Not Applicable
,"District of Columbia","11","Feb., 2018","2018/02",102,Not Applicable,Not Applicable
,"District of Columbia","11","Mar., 2018","2018/03",118,Not Applicable,Not Applicable
,"District of Columbia","11","Apr., 2018","2018/04",117,Not Applicable,Not Applicable
,"District of Columbia","11","May, 2018","2018/05",96,Not Applicable,Not Applicable
,"District of Columbia","11","Jun., 2018","2018/06",98,Not Applicable,Not Applicable
,"District of Columbia","11","Jul., 2018","2018/07",116,Not Applicable,Not Applicable
,"District of Columbia","11","Aug., 2018","2018/08",101,Not Applicable,Not Applicable
,"District of Columbia","11","Sep., 2018","2018/09",113,Not Applicable,Not Applicable
,"District of Columbia","11","Oct., 2018","2018/10",114,Not Applicable,Not Applicable
,"District of Columbia","11","Nov., 2018","2018/11",102,Not Applicable,Not Applicable
,"District of Columbia","11","Dec., 2018","2018/12",103,Not Applicable,Not Applicable
,"District of Columbia","11","Jan., 2019","2019/01",113,Not Applicable,Not Applicable
,"District of Columbia","11","Feb., 2019","2019/02",91,Not Applicable,Not Applicable
,"District of Columbia","11","Mar., 2019","2019/03",114,Not Applicable,Not Applicable
,"District of Columbia","11","Apr., 2019","2019/04",101,Not Applicable,Not Applicable
,"District of Columbia","11","May, 2019","2019/05",83,Not Applicable,Not Applicable
,"District of Columbia","11","Jun., 2019","2019/06",94,Not Applicable,Not Applicable
,"District of Columbia","11","Jul., 2019","2019/07",97,Not Applicable,Not Applicable
,"District of Columbia","11","Aug., 2019","2019/08",85,Not Applicable,Not Applicable
,"District of Columbia","11","Sep., 2019","2019/09",102,Not Applicable,Not Applicable
,"District of Columbia","11","Oct., 2019","2019/10",129,Not Applicable,Not Applicable
,"District of Columbia","11","Nov., 2019","2019/11",107,Not Applicable,Not Applicable
,"District of Columbia","11","Dec., 2019","2019/12",122,Not Applicable,Not Applicable
,"District of Columbia","11","Jan., 2020 ","2020/01",115,Not Applicable,Not Applicable
,"District of Columbia","11","Feb., 2020 ","2020/02",111,Not Applicable,Not Applicable
,"District of Columbia","11","Mar., 2020 ","2020/03",125,Not Applicable,Not Applicable
,"District of Columbia","11","Apr., 2020 ","2020/04",204,Not Applicable,Not Applicable
,"District of Columbia","11","May, 2020 ","2020/05",203,Not Applicable,Not Applicable
,"District of Columbia","11","Jun., 2020 ","2020/06",111,Not Applicable,Not Applicable
,"District of Columbia","11","Jul., 2020 ","2020/07",103,Not Applicable,Not Applicable
,"District of Columbia","11","Aug., 2020 ","2020/08",111,Not Applicable,Not Applicable
,"District of Columbia","11","Sep., 2020 ","2020/09",100,Not Applicable,Not Applicable
,"District of Columbia","11","Oct., 2020 ","2020/10",109,Not Applicable,Not Applicable
,"District of Columbia","11","Nov., 2020 ","2020/11",115,Not Applicable,Not Applicable
,"District of Columbia","11","Dec., 2020 ","2020/12",144,Not Applicable,Not Applicable
"Total","District of Columbia","11",,,28265,Not Applicable,Not Applicable
,"Florida","12","Jan., 1999","1999/01",4526,Not Applicable,Not Applicable
,"Florida","12","Feb., 1999","1999/02",3974,Not Applicable,Not Applicable
,"Florida","12","Mar., 1999","1999/03",4478,Not Applicable,Not Applicable
,"Florida","12","Apr., 1999","1999/04",3854,Not Applicable,Not Applicable
,"Florida","12","May, 1999","1999/05",3594,Not Applicable,Not Applicable
,"Florida","12","Jun., 1999","1999/06",3427,Not Applicable,Not Applicable
,"Florida","12","Jul., 1999","1999/07",3541,Not Applicable,Not Applicable
,"Florida","12","Aug., 1999","1999/08",3684,Not Applicable,Not Applicable
,"Florida","12","Sep., 1999","1999/09",3503,Not Applicable,Not Applicable
,"Florida","12","Oct., 1999","1999/10",3837,Not Applicable,Not Applicable
,"Florida","12","Nov., 1999","1999/11",3841,Not Applicable,Not Applicable
,"Florida","12","Dec., 1999","1999/12",4251,Not Applicable,Not Applicable
,"Florida","12","Jan., 2000","2000/01",4860,Not Applicable,Not Applicable
,"Florida","12","Feb., 2000","2000/02",4220,Not Applicable,Not Applicable
,"Florida","12","Mar., 2000","2000/03",3943,Not Applicable,Not Applicable
,"Florida","12","Apr., 2000","2000/04",3677,Not Applicable,Not Applicable
,"Florida","12","May, 2000","2000/05",3896,Not Applicable,Not Applicable
,"Florida","12","Jun., 2000","2000/06",3520,Not Applicable,Not Applicable
,"Florida","12","Jul., 2000","2000/07",3647,Not Applicable,Not Applicable
,"Florida","12","Aug., 2000","2000/08",3654,Not Applicable,Not Applicable
,"Florida","12","Sep., 2000","2000/09",3625,Not Applicable,Not Applicable
,"Florida","12","Oct., 2000","2000/10",3878,Not Applicable,Not Applicable
,"Florida","12","Nov., 2000","2000/11",3875,Not Applicable,Not Applicable
,"Florida","12","Dec., 2000","2000/12",4149,Not Applicable,Not Applicable
,"Florida","12","Jan., 2001","2001/01",4964,Not Applicable,Not Applicable
,"Florida","12","Feb., 2001","2001/02",3917,Not Applicable,Not Applicable
,"Florida","12","Mar., 2001","2001/03",4336,Not Applicable,Not Applicable
,"Florida","12","Apr., 2001","2001/04",3962,Not Applicable,Not Applicable
,"Florida","12","May, 2001","2001/05",4023,Not Applicable,Not Applicable
,"Florida","12","Jun., 2001","2001/06",3846,Not Applicable,Not Applicable
,"Florida","12","Jul., 2001","2001/07",3672,Not Applicable,Not Applicable
,"Florida","12","Aug., 2001","2001/08",3806,Not Applicable,Not Applicable
,"Florida","12","Sep., 2001","2001/09",3695,Not Applicable,Not Applicable
,"Florida","12","Oct., 2001","2001/10",3846,Not Applicable,Not Applicable
,"Florida","12","Nov., 2001","2001/11",3991,Not Applicable,Not Applicable
,"Florida","12","Dec., 2001","2001/12",4079,Not Applicable,Not Applicable
,"Florida","12","Jan., 2002","2002/01",4771,Not Applicable,Not Applicable
,"Florida","12","Feb., 2002","2002/02",4170,Not Applicable,Not Applicable
,"Florida","12","Mar., 2002","2002/03",4358,Not Applicable,Not Applicable
,"Florida","12","Apr., 2002","2002/04",3982,Not Applicable,Not Applicable
,"Florida","12","May, 2002","2002/05",3764,Not Applicable,Not Applicable
,"Florida","12","Jun., 2002","2002/06",3735,Not Applicable,Not Applicable
