group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-09;70560.53;73673.41;72111.37;75246.57;76480
Total;2017-10;70143.02;73211;71671.54;74761.33;73114
Total;2017-11;69665.32;72684.16;71169.4;74209.51;70770
Total;2017-12;69135.2;72102.54;70613.67;73601.72;68919
Total;2017-13;68561.16;71476.49;70013.77;72949.26;68722
Total;2017-14;67952.21;70816.87;69379.61;72263.92;67418
Total;2017-15;67317.77;70134.69;68721.42;71557.51;67063
Total;2017-16;66667.48;69440.97;68049.51;70841.78;66241
Total;2017-17;66011.03;68746.45;67374.11;70127.98;68295
Total;2017-18;65358.11;68061.42;66705.2;69426.71;67510
Total;2017-19;64718.09;67395.68;66052.36;68747.99;67082
Total;2017-20;64100.17;66758.18;65424.68;68100.63;66332
Total;2017-21;63512.96;66157.22;64830.6;67492.77;65368
Total;2017-22;62964.59;65600.24;64277.91;66931.51;64111
Total;2017-23;62462.55;65093.83;63773.66;66422.98;62003
Total;2017-24;62013.53;64643.8;63324.11;65972.54;64171
Total;2017-25;61623.51;64255.08;62934.71;65584.55;66224
Total;2017-26;61297.47;63931.96;62610.1;65263;63021
Total;2017-27;61039.96;63677.54;62354.1;65010.22;64270
Total;2017-28;60853.99;63494.79;62169.71;64829.14;62161
Total;2017-29;60742.24;63385.38;62059.12;64720.96;63142
Total;2017-30;60706.11;63350.66;62023.69;64686.96;62373
Total;2017-31;60746.28;63390.99;62063.94;64727.37;64624
Total;2017-32;60862.5;63506.13;62179.63;64841.93;63228
Total;2017-33;61053.57;63695.05;62369.65;65029.71;62631
Total;2017-34;61317.34;63956.07;62632.07;65289.26;63073
Total;2017-35;61650.77;64286.77;62964.17;65618.5;62646
Total;2017-36;62049.97;64683.82;63362.33;66014.37;61507
Total;2017-37;62510.03;65143.29;63822.13;66473.44;63100
Total;2017-38;63025.17;65660.38;64338.28;66991.42;64687
Total;2017-39;63588.91;66229.39;64904.67;67562.99;66066
Total;2017-40;64193.73;66843.95;65514.37;68182.41;66452
Total;2017-41;64831.58;67496.73;66159.68;68842.67;67705
Total;2017-42;65493.7;68179.65;66832.18;69536.06;67020
Total;2017-43;66170.89;68883.77;67522.79;70253.78;66408
Total;2017-44;66853.5;69599.46;68221.87;70986.2;66881
Total;2017-45;67531.62;70316.54;68919.39;71723.01;68125
Total;2017-46;68195.29;71024.29;69605;72453.1;70230
Total;2017-47;68834.65;71711.59;70268.21;73164.72;71140
Total;2017-48;69440.06;72367.33;70898.66;73846;71609
Total;2017-49;70001.98;72980.74;71486.19;74485.56;74446
Total;2017-50;70511.98;73541.01;72021.19;75071.38;76853
Total;2017-51;70961.94;74038.35;72494.7;75592.8;78056
Total;2017-52;71344.72;74463.8;72898.7;76039.94;81374
Total;2018-01;71654.22;74809.55;73226.22;76404.13;85501
Total;2018-02;71885.53;75069.23;73471.63;76678.24;83481
Total;2018-03;72034.98;75238.03;73630.7;76856.89;83207
Total;2018-04;72100.28;75312.86;73700.74;76936.58;80969
Total;2018-05;72080.58;75292.45;73680.68;76915.8;80345
Total;2018-06;71976.37;75177.37;73571.07;76795.2;81013
Total;2018-07;71789.65;74970.03;73374.1;76577.37;83458
Total;2018-08;71523.74;74674.58;73093.5;76266.9;85104
Total;2018-09;71183.26;74296.84;72734.5;75870.22;90492
Total;2018-10;70773.98;73844.07;72303.6;75395.34;91220
Total;2018-11;70302.69;73324.77;71808.43;74851.64;84788
Total;2018-12;69777.11;72748.53;71257.66;74249.66;80714
Total;2018-13;69205.68;72125.65;70660.64;73600.65;77746
Total;2018-14;68597.42;71467;70027.31;72916.43;75274
Total;2018-15;67961.71;70783.67;69367.91;72208.93;72678
Total;2018-16;67308.27;70086.75;68692.82;71489.97;69695
Total;2018-17;66646.85;69387.14;68012.39;70771.03;66314
Total;2018-18;65987.21;68695.31;67336.72;70062.91;65500
Total;2018-19;65338.93;68021.14;66675.54;69375.68;65276
Total;2018-20;64711.26;67373.9;66038.11;68718.59;64206
Total;2018-21;64113.02;66762.02;65433.05;68099.86;64855
Total;2018-22;63552.53;66193.1;64868.34;67526.76;65163
Total;2018-23;63037.42;65673.99;64351.2;67005.71;63598
Total;2018-24;62574.63;65210.63;63888.1;66542.17;62025
Total;2018-25;62170.28;64808.18;63484.66;66140.77;63091
Total;2018-26;61829.68;64470.96;63145.72;65805.35;64942
Total;2018-27;61557.27;64202.55;62875.27;65539.04;65041
Total;2018-28;61356.61;64005.69;62676.49;65344.17;63050
Total;2018-29;61230.2;63882.57;62551.7;65222.75;64672
Total;2018-30;61179.93;63834.36;62502.45;65175.61;67260
Total;2018-31;61206.52;63861.68;62529.4;65203.29;70123
Total;2018-32;61309.86;63964.43;62632.46;65305.71;67714
Total;2018-33;61488.92;64141.73;62810.66;65482.07;63354
Total;2018-34;61741.69;64392;63062.2;65731.01;63485
Total;2018-35;62065.36;64712.84;63384.49;66050.34;62333
Total;2018-36;62456.01;65101.22;63774.04;66437.47;63351
Total;2018-37;62908.96;65553.22;64226.55;66888.89;63211
Total;2018-38;63418.54;66064.12;64736.83;67400.37;64565
Total;2018-39;63978.3;66628.43;65298.89;67966.88;63847
Total;2018-40;64580.85;67239.85;65905.88;68582.69;66011
Total;2018-41;65218.13;67891.19;66550.18;69241.08;67324
Total;2018-42;65881.62;68574.26;67223.45;69934.01;65250
Total;2018-43;66561.88;69280.44;67916.63;70653.26;66036
Total;2018-44;67249.32;70000.11;68620.12;71389.23;68124
Total;2018-45;67934.03;70723.06;69323.87;72131.54;69281
Total;2018-46;68605.98;71438.54;70017.48;72869.08;67923
Total;2018-47;69255.14;72135.51;70690.43;73590.3;69355
Total;2018-48;69871.53;72802.99;71332.24;74283.71;70800
Total;2018-49;70446.27;73429.27;71932.62;74936.17;71622
Total;2018-50;70969.95;74004.15;72481.75;75537.05;71771
Total;2018-51;71434.49;74517.37;72970.5;76075.02;74513
Total;2018-52;71832.52;74959.76;73390.59;76539.96;73946
Total;2019-01;72157.81;75323.13;73734.81;76922.7;77820
Total;2019-02;72404.93;75601.04;73997.23;77216.27;80923
Total;2019-03;72570.22;75788.07;74173.33;77414.36;80967
Total;2019-04;72651.04;75880.88;74260.1;77513.27;81547
Total;2019-05;72646.22;75877.88;74256.19;77511.21;82254
Total;2019-06;72556.08;75779.31;74161.85;77408.35;82413
Total;2019-07;72382.32;75587.25;73979;77206.99;80596
Total;2019-08;72128.07;75305.59;73711.12;76911.38;79534
Total;2019-09;71797.77;74939.86;73363.21;76527.66;79133
Total;2019-10;71396.95;74497.21;72941.59;76063.74;76707
Total;2019-11;70932.39;73985.96;72453.81;75528.76;74769
Total;2019-12;70411.69;73415.53;71908.39;74933.07;71836
Total;2019-13;69843.18;72796.28;71314.63;74288.04;70573
Total;2019-14;69235.91;72138.98;70682.48;73605.36;71521
Total;2019-15;68599.22;71454.87;70022.19;72897.18;69434
Total;2019-16;67942.98;70754.99;69344.23;72175.19;70369
Total;2019-17;67276.93;70050.48;68659.04;71451.2;69402
Total;2019-18;66610.91;69351.96;67976.83;70736.23;67430
Total;2019-19;65954.66;68669.48;67307.51;70040.52;67351
Total;2019-20;65317.55;68012.45;66660.46;69373.46;67209
Total;2019-21;64708.6;67389.54;66044.53;68743.55;66588
Total;2019-22;64135.96;66808.87;65467.87;68158.9;65757
Total;2019-23;63608.28;66276.61;64937.87;67624.42;65921
Total;2019-24;63131.91;65799.7;64461.2;67147.33;64908
Total;2019-25;62713.32;65383.34;64043.69;66732.2;64968
Total;2019-26;62358.16;65031.89;63690.35;66382.72;67237
Total;2019-27;62070.97;64749.15;63405.35;66102.32;65787
Total;2019-28;61855.49;64538.05;63192.03;65893.5;63727
Total;2019-29;61714.47;64400.85;63052.89;65758.28;63900
Total;2019-30;61649.89;64338.95;62989.64;65697.77;70217
Total;2019-31;61662.68;64353.09;63003.1;65712.59;63987
Total;2019-32;61752.9;64443.28;63093.31;65802.74;63693
Total;2019-33;61919.64;64608.76;63259.43;65967.54;62338
Total;2019-34;62162.26;64846.91;63499.86;66203.36;63663
Total;2019-35;62474.52;65159.04;63812.07;66515.35;65942
Total;2019-36;62856.23;65538.6;64192.74;66893.73;62540
Total;2019-37;63301.6;65983.01;64637.67;67337.56;63857
Total;2019-38;63805.14;66487.65;65141.79;67842.66;64741
Total;2019-39;64360.4;67047.2;65699.22;68404.27;66272
Total;2019-40;64960.18;67655.38;66303.21;69016.62;66275
Total;2019-41;65596.57;68305.01;66946.22;69672.86;68251
Total;2019-42;66260.77;68988.3;67619.95;70365.77;68246
Total;2019-43;66943.77;69696.31;68315.42;71086.39;68608
Total;2019-44;67635.63;70419.84;69023.06;71825.92;69249
Total;2019-45;68326.62;71148.44;69732.77;72573.56;70253
Total;2019-46;69006.56;71871.51;70434.18;73318.49;71721
Total;2019-47;69665.34;72577.93;71116.67;74049.07;72826
Total;2019-48;70293.01;73256.46;71769.64;74753.42;72808
Total;2019-49;70879.93;73895.95;72382.7;75419.6;73976
Total;2019-50;71417.31;74485.24;72945.9;76035.27;75422
Total;2019-51;71896.38;75014.3;73449.82;76589.73;76926
Total;2019-52;72309.78;75473.53;73886.01;77072.26;74828
Total;2020-01;72650.72;75854.73;74246.96;77473.93;77711
Total;2020-02;72914.05;76150.66;74526.49;77786.45;80038
Total;2020-03;73095.65;76355.77;74719.78;78003.52;78576
Total;2020-04;73191.89;76467.04;74823.49;78122.45;77329
Total;2020-05;73202.24;76481.69;74835.97;78139.3;79384
Total;2020-06;73126.37;76399.96;74757.19;78054.59;76531
Total;2020-07;72965.92;76223.49;74588.77;77869.97;76859
Total;2020-08;72723.65;75956.02;74333.98;77589.69;74135
Total;2020-09;72403.73;75602.86;73997.53;77219.64;75156
Total;2020-10;72011.76;75170.78;73585.62;76767.16;75706
Total;2020-11;71554.26;74667.99;73105.6;76241.36;77621
Total;2020-12;71038.72;74103.88;72565.9;75652.58;84731
Total;2020-13;70473.47;73488.63;71975.79;75011.93;97671
Total;2020-14;69867.5;72833.1;71345.17;74331.24;109673
Total;2020-15;69230.25;72148.46;70684.33;73622.56;107438
Total;2020-16;68571.48;71445.99;70003.82;72897.94;96116
Total;2020-17;67901.1;70736.82;69314.12;72169.11;85982
Total;2020-18;67229.06;70031.71;68625.62;71447.29;77732
Total;2020-19;66565.16;69340.97;67948.34;70742.98;73952
Total;2020-20;65918.93;68674.18;67291.86;70065.84;69528
Total;2020-21;65299.53;68040.18;66665.16;69424.53;69000
Total;2020-22;64715.56;67447.04;66076.6;68826.83;66342
Total;2020-23;64175.01;66902.04;65533.79;68279.67;65764
Total;2020-24;63685.22;66411.43;65043.56;67788.75;64329
Total;2020-25;63252.7;65980.78;64611.94;67359.15;63883
Total;2020-26;62882.99;65614.92;64244.11;66995.33;66750
Total;2020-27;62581.01;65317.64;63944.44;66700.53;64274
Total;2020-28;62350.75;65092;63716.46;66477.3;63731
Total;2020-29;62195.08;64940.47;63562.83;66327.92;64587
Total;2020-30;62116.06;64864.65;63485.4;66253.75;65328
Total;2020-31;62114.85;64865.38;63485.15;66255.48;67906
Total;2020-32;62191.69;64942.81;63562.29;66333.18;67329
Total;2020-33;62345.84;65096.32;63716.13;66486.33;72690
Total;2020-34;62575.63;65324.57;63945.18;66713.74;66542
Total;2020-35;62878.47;65625.45;64247.06;67013.55;65075
Total;2020-36;63250.8;65996.06;64618.57;67383.21;65701
Total;2020-37;63688.12;66432.79;65055.63;67819.53;67428
Total;2020-38;64185.16;66931.06;65553.32;68318.32;69209
Total;2020-39;64735.45;67485.74;66105.83;68875.12;68009
Total;2020-40;65332.01;68090.53;66706.51;69483.99;70342
Total;2020-41;65966.87;68738.47;67347.92;70138.46;70892
Total;2020-42;66631.48;69421.72;68021.83;70831.08;72665
Total;2020-43;67316.62;70131.6;68719.31;71553.44;78480
Total;2020-44;68012.64;70858.67;69430.79;72296.2;82217
Total;2020-45;68709.55;71592.79;70146.23;73049.15;85768
Total;2020-46;69397.18;72323.24;70855.17;73801.31;87953
Total;2020-47;70065.33;73038.92;71546.98;74541.09;87666
Total;2020-48;70703.98;73728.5;72210.96;75256.52;88554
Total;2020-49;71303.35;74380.65;72836.58;75935.47;90473
Total;2020-50;71854.18;74984.34;73413.7;76566.03;92205
Total;2020-51;72347.85;75529.07;73932.76;77136.71;92188
Total;2020-52;72776.57;76005.14;74385.02;77636.86;92631
Total;2020-53;73133.51;76403.95;74762.77;78056.97;94612
Total;2021-01;73412.96;76718.17;75059.5;78388.88;97347
Total;2021-02;73610.46;76942.01;75270.09;78626.13;100453
Total;2021-03;73722.9;77071.36;75390.94;78764.09;102280
Total;2021-04;73748.62;77103.93;75420.05;78800.15;97400
Total;2021-05;73687.37;77039.29;75357.12;78733.79;90972
Total;2021-06;73540.39;76878.88;75203.46;78566.55;85918
Total;2021-07;73310.35;76626.01;74962.07;78302.09;83295
Total;2021-08;73000.84;76286.19;74637.49;77946.86;77618
Total;2021-09;72618.48;75864.64;74235.65;77505.38;75059
Total;2021-10;72168.36;75370.8;73763.79;76989.32;75639
Total;2021-11;71658.34;74813.42;73230.22;76407.88;75041
Total;2021-12;71096.79;74202.55;72644.14;75771.95;74983
Total;2021-13;70492.4;73549.27;72015.42;75093.85;75700
Total;2021-14;69854.9;72864.47;71354.4;74385.04;75071
Total;2021-15;69193.97;72159.64;70671.62;73657.96;74530
Total;2021-16;68519.63;71446;69977.72;72924.42;74352
Total;2021-17;67841.88;70734.49;69283.15;72195.82;73102
Total;2021-18;67170.67;70035.54;68598.12;71482.87;73007
Total;2021-19;66515.65;69358.97;67932.35;70795.44;69744
Total;2021-20;65886.11;68713.85;67295.03;70142.5;67902
Total;2021-21;65290.77;68108.48;66694.66;69532.14;66844
Total;2021-22;64737.93;67550.19;66139.08;68971.2;67636
Total;2021-23;64234.93;67045.67;65635.29;68466.02;66325
Total;2021-24;63788.49;66600.64;65189.51;68021.81;68272
Total;2021-25;63404.5;66219.98;64807.14;67642.94;65953
Total;2021-26;63087.88;65907.82;64492.72;67333.13;66846
Total;2021-27;62842.78;65667.44;64249.93;67095.21;66524
Total;2021-28;62672.33;65501.36;64081.64;66931.4;67665
Total;2021-29;62578.81;65411.36;63989.86;66843.23;70163
Total;2021-30;62563.47;65398.44;63975.72;66831.55;68829
Total;2021-31;62626.73;65462.88;64039.57;66896.58;69891
Total;2021-32;62768.01;65604.21;64180.88;67037.9;71300
Total;2021-33;62985.81;65821.19;64398.3;67254.41;70469
Total;2021-34;63277.67;66111.84;64689.58;67544.36;69144
Total;2021-35;63640.23;66473.38;65051.66;67905.31;70093
Total;2021-36;64069.11;66902.27;65480.58;68334.1;73447
Total;2021-37;64559.09;67394.12;65971.53;68826.8;70118
Total;2021-38;65104.01;67943.74;66518.82;69378.69;69743
Total;2021-39;65696.83;68545.05;67115.9;69984.21;71024
Total;2021-40;66329.75;69191.14;67755.41;70636.88;71507
Total;2021-41;66994.24;69874.26;68429.2;71329.35;73763
Total;2021-42;67681.16;70585.79;69128.39;72053.29;75460
Total;2021-43;68380.87;71316.32;69843.45;72799.4;77809
Total;2021-44;69083.34;72055.77;70564.34;73557.57;77947
Total;2021-45;69778.37;72793.45;71280.6;74316.86;81015
Total;2021-46;70455.67;73518.18;71981.5;75065.64;82654
Total;2021-47;71105.04;74218.64;72656.28;75792.05;85568
Total;2021-48;71716.62;74883.39;73294.3;76483.8;89549
Total;2021-49;72280.93;75501.25;73885.25;77128.87;89310
Total;2021-50;72789.18;76061.56;74419.37;77715.65;87108
Total;2021-51;73233.3;76554.38;74887.7;78233.23;87455
Total;2021-52;73606.23;76970.83;75282.26;78671.83;87833
Total;2022-01;73901.98;77303.31;75596.27;79023;85097
Total;2022-02;74115.85;77545.71;75824.32;79279.94;84320
Total;2022-03;74244.44;77693.58;75962.49;79437.63;84387
Total;2022-04;74285.8;77744.27;76008.48;79493.08;86465
Total;2022-05;74239.41;77697.01;75961.66;79445.38;87136
Total;2022-06;74106.29;77552.95;75823.09;79295.77;83935
Total;2022-07;73888.83;77315.03;75595.46;79047.45;83186
Total;2022-08;73590.92;76988.05;75283.1;78705.68;79441
Total;2022-09;73217.62;76578.41;74891.73;78277.57;79169.88
Total;2022-10;72775.25;76093.95;74428.43;77771.71;79639.83
Total;2022-11;72272.22;75542.63;73901.4;77195.84;79764.25
Total;2022-12;71713.48;74937.81;73319.74;76567.62;79722.8
Total;2022-13;71111.21;74286.94;72693.29;75892.07;80253.01
Total;2022-14;70473.8;73602.36;72032.42;75183.55;80871.98
Total;2022-15;69811.07;72895.46;71347.71;74454.24;79014.52
Total;2022-16;69133.12;72177.59;70649.89;73716.15;75673.22
Total;2022-17;68450.02;71459.82;69949.52;72980.83;74573.89
Total;2022-18;67771.82;70752.77;69256.95;72259.21;73515.58
Total;2022-19;67108.33;70066.45;68582.08;71561.39;72938.97
Total;2022-20;66468.94;69410.15;67934.24;70896.59;71681.45
Total;2022-21;65862.62;68792.32;67322.16;70273.03;67792.37
Total;2022-22;65297.6;68220.74;66753.83;69698.23;69800.94
Total;2022-23;64781.62;67702.1;66236.49;69178.36;69300.24
Total;2022-24;64321.48;67242.41;65776.54;68719.01;72359.57
Total;2022-25;63923.23;66846.77;65379.56;68324.81;71504.66
Total;2022-26;63592.04;66519.5;65050.28;67999.61;71405.46
Total;2022-27;63332.16;66264.05;64792.57;67746.5;72578.67
Total;2022-28;63146.93;66083.14;64609.48;67567.84;76098.73
Total;2022-29;63038.77;65978.69;64503.15;67465.31;81233.88
Total;2022-30;63009.17;65951.87;64474.92;67439.92;76584.14
Total;2022-31;63058.66;66003.08;64525.27;67492.01;74729.59
Total;2022-32;63186.84;66131.99;64653.83;67621.26;75662.83
Total;2022-33;63392.37;66337.5;64859.36;67826.7;73031.5
Total;2022-34;63672.95;66617.72;65139.79;68106.66;70358.88
Total;2022-35;64025.35;66970;65492.16;68458.8;68466.33
Total;2022-36;64445.37;67390.91;65912.65;68880.05;69087.56
Total;2022-37;64927.91;67876.14;66396.57;69366.54;68656.43
Total;2022-38;65466.95;68420.6;66938.34;69913.63;70866.69
Total;2022-39;66055.56;69018.3;67531.51;70515.84;74773.24
Total;2022-40;66686.07;69662.43;68168.84;71166.77;76275.76
Total;2022-41;67349.99;70345.27;68842.2;71859.12;77135.38
Total;2022-42;68038.25;71058.29;69542.81;72584.62;77814.78
Total;2022-43;68741.23;71792.15;70261.17;73334.09;76632.57
Total;2022-44;69449.24;72536.41;70987.23;74096.69;73762.85
Total;2022-45;70150.98;73281.5;71710.55;74863.77;75677.44
Total;2022-46;70837.12;74015.15;72420.33;75621.51;77309.05
Total;2022-47;71496.99;74726.31;73105.71;76358.71;79614.08
Total;2022-48;72120.63;75403.5;73755.98;77063.12;81819.42
Total;2022-49;72698.32;76035.4;74360.62;77722.57;87957.2
Total;2022-50;73221.09;76611.18;74909.74;78325.3;94217.16
Total;2022-51;73680.61;77120.66;75394.09;78860.21;101665.73
Total;2022-52;74069.61;77554.76;75805.51;79317.27;100519.06
Total;2023-01;74381.8;77905.54;76136.88;79687.69;95620.46
Total;2023-02;74612.21;78166.59;76382.51;79964.35;88598.36
Total;2023-03;74757.17;78333.13;76538.19;80141.89;83754.88
Total;2023-04;74814.38;78402.17;76601.27;80216.97;81360
Total;2023-05;74783.17;78372.53;76570.84;80188.14;81139.68
Total;2023-06;74664.21;78245.1;76447.67;80056.4;78376.48
Total;2023-07;74459.7;78022.51;76234.17;79824.62;70256.87
0to14;2017-09;336.89;425.65;380.41;472.57;398
0to14;2017-10;336.65;425.33;380.13;472.2;419
0to14;2017-11;336.41;425;379.84;471.82;391
0to14;2017-12;336.17;424.67;379.56;471.44;365
0to14;2017-13;335.92;424.34;379.27;471.07;369
0to14;2017-14;335.68;424.02;378.99;470.7;386
0to14;2017-15;335.43;423.7;378.71;470.35;414
0to14;2017-16;335.19;423.39;378.43;470;388
0to14;2017-17;334.95;423.09;378.16;469.66;405
0to14;2017-18;334.72;422.8;377.9;469.34;428
0to14;2017-19;334.5;422.52;377.65;469.04;350
0to14;2017-20;334.28;422.26;377.41;468.75;383
0to14;2017-21;334.07;422;377.18;468.47;362
0to14;2017-22;333.87;421.76;376.96;468.21;386
0to14;2017-23;333.68;421.54;376.75;467.97;414
0to14;2017-24;333.5;421.33;376.56;467.74;433
0to14;2017-25;333.33;421.13;376.38;467.53;356
0to14;2017-26;333.17;420.95;376.21;467.34;404
0to14;2017-27;333.03;420.78;376.05;467.15;409
0to14;2017-28;332.9;420.62;375.91;466.98;371
0to14;2017-29;332.78;420.48;375.77;466.82;397
0to14;2017-30;332.67;420.34;375.65;466.68;377
0to14;2017-31;332.57;420.22;375.54;466.54;367
0to14;2017-32;332.48;420.11;375.44;466.42;362
0to14;2017-33;332.41;420.01;375.36;466.31;388
0to14;2017-34;332.34;419.92;375.28;466.2;343
0to14;2017-35;332.28;419.84;375.21;466.11;388
0to14;2017-36;332.23;419.76;375.14;466.02;336
0to14;2017-37;332.18;419.69;375.09;465.94;361
0to14;2017-38;332.14;419.63;375.04;465.86;383
0to14;2017-39;332.11;419.57;374.99;465.8;366
0to14;2017-40;332.07;419.52;374.94;465.73;384
0to14;2017-41;332.03;419.47;374.9;465.68;376
0to14;2017-42;331.99;419.42;374.86;465.62;377
0to14;2017-43;331.95;419.37;374.81;465.57;390
0to14;2017-44;331.9;419.32;374.76;465.52;346
0to14;2017-45;331.84;419.27;374.7;465.47;360
0to14;2017-46;331.77;419.21;374.64;465.42;400
0to14;2017-47;331.69;419.14;374.57;465.36;419
0to14;2017-48;331.6;419.07;374.48;465.3;355
0to14;2017-49;331.5;418.98;374.39;465.22;391
0to14;2017-50;331.38;418.88;374.28;465.13;415
0to14;2017-51;331.25;418.77;374.16;465.02;383
0to14;2017-52;331.11;418.64;374.02;464.9;426
0to14;2018-01;330.96;418.48;373.87;464.75;382
0to14;2018-02;330.8;418.32;373.7;464.58;414
0to14;2018-03;330.62;418.13;373.52;464.38;356
0to14;2018-04;330.44;417.92;373.32;464.16;373
0to14;2018-05;330.25;417.69;373.11;463.92;363
0to14;2018-06;330.04;417.45;372.89;463.65;387
0to14;2018-07;329.83;417.19;372.66;463.37;380
0to14;2018-08;329.62;416.92;372.42;463.07;360
0to14;2018-09;329.4;416.64;372.17;462.76;394
0to14;2018-10;329.17;416.35;371.91;462.43;396
0to14;2018-11;328.94;416.06;371.65;462.11;386
0to14;2018-12;328.71;415.76;371.39;461.78;372
0to14;2018-13;328.48;415.47;371.12;461.45;417
0to14;2018-14;328.24;415.17;370.86;461.13;378
0to14;2018-15;328.01;414.89;370.6;460.81;374
0to14;2018-16;327.78;414.61;370.34;460.5;391
0to14;2018-17;327.55;414.34;370.1;460.21;355
0to14;2018-18;327.33;414.07;369.85;459.93;347
0to14;2018-19;327.11;413.82;369.62;459.66;355
0to14;2018-20;326.9;413.58;369.39;459.4;376
0to14;2018-21;326.7;413.35;369.18;459.16;358
0to14;2018-22;326.51;413.14;368.97;458.93;325
0to14;2018-23;326.32;412.93;368.78;458.72;396
0to14;2018-24;326.15;412.74;368.6;458.52;370
0to14;2018-25;325.99;412.56;368.43;458.33;356
0to14;2018-26;325.83;412.4;368.27;458.16;369
0to14;2018-27;325.69;412.24;368.12;458;408
0to14;2018-28;325.56;412.1;367.98;457.85;389
0to14;2018-29;325.44;411.97;367.85;457.72;389
0to14;2018-30;325.33;411.85;367.74;457.6;390
0to14;2018-31;325.23;411.74;367.64;457.48;367
0to14;2018-32;325.14;411.64;367.54;457.38;403
0to14;2018-33;325.06;411.55;367.46;457.28;354
0to14;2018-34;324.99;411.47;367.38;457.2;386
0to14;2018-35;324.92;411.4;367.31;457.12;317
0to14;2018-36;324.87;411.33;367.25;457.05;334
0to14;2018-37;324.82;411.27;367.2;456.99;406
0to14;2018-38;324.77;411.22;367.15;456.93;417
0to14;2018-39;324.73;411.17;367.1;456.88;345
0to14;2018-40;324.69;411.13;367.06;456.83;373
0to14;2018-41;324.65;411.09;367.02;456.79;403
0to14;2018-42;324.6;411.05;366.98;456.75;397
0to14;2018-43;324.56;411.01;366.93;456.72;340
0to14;2018-44;324.51;410.97;366.89;456.69;348
0to14;2018-45;324.45;410.92;366.84;456.65;411
0to14;2018-46;324.38;410.88;366.78;456.61;395
0to14;2018-47;324.3;410.82;366.71;456.57;396
0to14;2018-48;324.22;410.76;366.64;456.52;382
0to14;2018-49;324.12;410.69;366.55;456.47;389
0to14;2018-50;324.01;410.6;366.45;456.39;386
0to14;2018-51;323.89;410.51;366.35;456.31;403
0to14;2018-52;323.76;410.39;366.22;456.21;345
0to14;2019-01;323.62;410.26;366.09;456.09;406
0to14;2019-02;323.47;410.12;365.94;455.95;400
0to14;2019-03;323.3;409.95;365.77;455.78;402
0to14;2019-04;323.13;409.77;365.59;455.6;373
0to14;2019-05;322.95;409.57;365.4;455.39;422
0to14;2019-06;322.76;409.36;365.2;455.17;405
0to14;2019-07;322.56;409.13;364.99;454.93;418
0to14;2019-08;322.35;408.89;364.77;454.67;414
0to14;2019-09;322.14;408.65;364.54;454.4;398
0to14;2019-10;321.93;408.39;364.3;454.12;380
0to14;2019-11;321.71;408.13;364.06;453.84;376
0to14;2019-12;321.49;407.86;363.82;453.55;354
0to14;2019-13;321.27;407.6;363.58;453.26;351
0to14;2019-14;321.05;407.34;363.34;452.98;386
0to14;2019-15;320.83;407.08;363.1;452.71;408
0to14;2019-16;320.61;406.83;362.86;452.44;356
0to14;2019-17;320.39;406.58;362.63;452.18;369
0to14;2019-18;320.18;406.35;362.41;451.93;373
0to14;2019-19;319.97;406.12;362.19;451.69;331
0to14;2019-20;319.77;405.9;361.98;451.47;338
0to14;2019-21;319.57;405.7;361.78;451.26;379
0to14;2019-22;319.39;405.5;361.59;451.06;336
0to14;2019-23;319.21;405.32;361.41;450.87;382
0to14;2019-24;319.04;405.15;361.24;450.7;355
0to14;2019-25;318.88;404.98;361.08;450.54;362
0to14;2019-26;318.73;404.84;360.93;450.39;366
0to14;2019-27;318.59;404.7;360.79;450.26;356
0to14;2019-28;318.47;404.57;360.66;450.13;382
0to14;2019-29;318.34;404.45;360.54;450.02;332
0to14;2019-30;318.23;404.35;360.43;449.91;388
0to14;2019-31;318.13;404.25;360.33;449.82;397
0to14;2019-32;318.04;404.16;360.24;449.74;342
0to14;2019-33;317.96;404.09;360.16;449.66;368
0to14;2019-34;317.89;404.02;360.09;449.59;402
0to14;2019-35;317.82;403.95;360.03;449.53;369
0to14;2019-36;317.76;403.9;359.97;449.48;340
0to14;2019-37;317.71;403.85;359.92;449.44;359
0to14;2019-38;317.66;403.81;359.87;449.4;393
0to14;2019-39;317.61;403.77;359.83;449.36;339
0to14;2019-40;317.57;403.73;359.79;449.33;382
0to14;2019-41;317.52;403.7;359.75;449.31;344
0to14;2019-42;317.48;403.67;359.71;449.29;346
0to14;2019-43;317.43;403.64;359.67;449.27;374
0to14;2019-44;317.38;403.61;359.63;449.25;327
0to14;2019-45;317.32;403.58;359.58;449.23;356
0to14;2019-46;317.25;403.54;359.53;449.21;380
0to14;2019-47;317.18;403.5;359.48;449.18;371
0to14;2019-48;317.1;403.45;359.41;449.15;399
0to14;2019-49;317.01;403.39;359.33;449.11;398
0to14;2019-50;316.91;403.32;359.25;449.06;425
0to14;2019-51;316.79;403.24;359.15;449;400
0to14;2019-52;316.67;403.15;359.04;448.92;403
0to14;2020-01;316.54;403.04;358.92;448.83;348
0to14;2020-02;316.39;402.91;358.78;448.72;374
0to14;2020-03;316.24;402.77;358.64;448.58;377
0to14;2020-04;316.08;402.62;358.48;448.43;397
0to14;2020-05;315.91;402.44;358.3;448.26;392
0to14;2020-06;315.73;402.26;358.12;448.07;382
0to14;2020-07;315.54;402.06;357.93;447.87;359
0to14;2020-08;315.35;401.85;357.73;447.65;375
