GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14524070;      Gersdorf;4233;2065;2168
30.06.2011;14524080;      Glauchau, Stadt;23561;11414;12147
30.06.2011;14524090;      Hartenstein, Stadt;4798;2327;2471
30.06.2011;14524100;      Hartmannsdorf b. Kirchberg;1395;669;726
30.06.2011;14524110;      Hirschfeld;1222;606;616
30.06.2011;14524120;      Hohenstein-Ernstthal, Stadt;15466;7434;8032
30.06.2011;14524130;      Kirchberg, Stadt;8721;4144;4577
30.06.2011;14524140;      Langenbernsdorf;3751;1864;1887
30.06.2011;14524150;      Langenweißbach;2635;1304;1331
30.06.2011;14524160;      Lichtenstein/Sa., Stadt;12382;5887;6495
30.06.2011;14524170;      Lichtentanne;6667;3213;3454
30.06.2011;14524180;      Limbach-Oberfrohna, Stadt;24706;11932;12774
30.06.2011;14524190;      Meerane, Stadt;15511;7383;8128
30.06.2011;14524200;      Mülsen;11897;5836;6061
30.06.2011;14524210;      Neukirchen/Pleiße;4213;2073;2140
30.06.2011;14524220;      Niederfrohna;2341;1172;1169
30.06.2011;14524230;      Oberlungwitz, Stadt;6197;3024;3173
30.06.2011;14524240;      Oberwiera;1104;553;551
30.06.2011;14524250;      Reinsdorf;8007;3933;4074
30.06.2011;14524260;      Remse;1730;861;869
30.06.2011;14524270;      Schönberg;960;485;475
30.06.2011;14524280;      St. Egidien;3448;1700;1748
30.06.2011;14524290;      Waldenburg, Stadt;4249;2086;2163
30.06.2011;14524300;      Werdau, Stadt;21708;10478;11230
30.06.2011;14524310;      Wildenfels, Stadt;3856;1919;1937
30.06.2011;14524320;      Wilkau-Haßlau, Stadt;10620;5025;5595
30.06.2011;14524330;      Zwickau, Stadt;92999;44787;48212
30.06.2011;146;  Dresden, NUTS 2-Region;1590584;779648;810936
30.06.2011;14612;    Dresden, Stadt;512424;250344;262080
30.06.2011;14612000;      Dresden, Stadt;512424;250344;262080
30.06.2011;14625;    Bautzen, Landkreis;315019;155423;159596
30.06.2011;14625010;      Arnsdorf;4752;2464;2288
30.06.2011;14625020;      Bautzen, Stadt;40265;19384;20881
30.06.2011;14625030;      Bernsdorf, Stadt (Landkreis Bautzen);6757;3344;3413
30.06.2011;14625040;      Bischofswerda, Stadt;11892;5695;6197
30.06.2011;14625060;      Burkau;2762;1411;1351
30.06.2011;14625080;      Crostwitz;1052;540;512
30.06.2011;14625090;      Cunewalde;5009;2462;2547
30.06.2011;14625100;      Demitz-Thumitz;2849;1427;1422
30.06.2011;14625110;      Doberschau-Gaußig;4317;2205;2112
30.06.2011;14625120;      Elsterheide;3705;1887;1818
30.06.2011;14625130;      Elstra, Stadt;2887;1456;1431
30.06.2011;14625140;      Frankenthal;996;496;500
30.06.2011;14625150;      Göda;3202;1610;1592
30.06.2011;14625160;      Großdubrau;4359;2205;2154
30.06.2011;14625170;      Großharthau;2996;1555;1441
30.06.2011;14625180;      Großnaundorf;1014;501;513
30.06.2011;14625190;      Großpostwitz/O.L.;2815;1381;1434
30.06.2011;14625200;      Großröhrsdorf, Stadt;9708;4754;4954
30.06.2011;14625220;      Haselbachtal;4209;2151;2058
30.06.2011;14625230;      Hochkirch;2416;1234;1182
30.06.2011;14625240;      Hoyerswerda, Stadt;36024;17298;18726
30.06.2011;14625250;      Kamenz, Stadt;17794;8739;9055
30.06.2011;14625270;      Königsbrück, Stadt;4349;2119;2230
30.06.2011;14625280;      Königswartha;3738;1854;1884
30.06.2011;14625290;      Kubschütz;2704;1358;1346
30.06.2011;14625300;      Laußnitz;1935;990;945
30.06.2011;14625310;      Lauta, Stadt;9142;4473;4669
30.06.2011;14625320;      Lichtenberg (Landkreis Bautzen);1657;832;825
30.06.2011;14625330;      Lohsa;5702;2832;2870
30.06.2011;14625340;      Malschwitz;5036;2542;2494
30.06.2011;14625350;      Nebelschütz;1199;618;581
30.06.2011;14625360;      Neschwitz;2507;1273;1234
30.06.2011;14625370;      Neukirch;1744;879;865
30.06.2011;14625380;      Neukirch/Lausitz;5148;2525;2623
30.06.2011;14625390;      Obergurig;2084;1065;1019
30.06.2011;14625410;      Ohorn;2375;1187;1188
30.06.2011;14625420;      Oßling;2402;1248;1154
30.06.2011;14625430;      Ottendorf-Okrilla;9857;4931;4926
30.06.2011;14625440;      Panschwitz-Kuckau;2138;1026;1112
30.06.2011;14625450;      Pulsnitz, Stadt;7636;3708;3928
30.06.2011;14625460;      Puschwitz;884;457;427
30.06.2011;14625470;      Räckelwitz;1126;555;571
30.06.2011;14625480;      Radeberg, Stadt;18065;8797;9268
30.06.2011;14625490;      Radibor;3299;1681;1618
30.06.2011;14625500;      Ralbitz-Rosenthal;1722;915;807
30.06.2011;14625510;      Rammenau;1432;711;721
30.06.2011;14625525;      Schirgiswalde-Kirschau, Stadt;6749;3366;3383
30.06.2011;14625530;      Schmölln-Putzkau;3173;1586;1587
30.06.2011;14625550;      Schwepnitz;2574;1313;1261
30.06.2011;14625560;      Sohland a. d. Spree;7074;3488;3586
30.06.2011;14625570;      Spreetal;2039;1054;985
30.06.2011;14625580;      Steina;1712;855;857
30.06.2011;14625590;      Steinigtwolmsdorf;3034;1527;1507
30.06.2011;14625600;      Wachau;4334;2217;2117
30.06.2011;14625610;      Weißenberg, Stadt;3369;1729;1640
30.06.2011;14625630;      Wilthen, Stadt;5421;2590;2831
30.06.2011;14625640;      Wittichenau, Stadt;5879;2923;2956
30.06.2011;14626;    Görlitz, Landkreis;269428;131429;137999
30.06.2011;14626010;      Bad Muskau, Stadt;3720;1843;1877
30.06.2011;14626020;      Beiersdorf;1234;620;614
30.06.2011;14626030;      Bernstadt a. d. Eigen, Stadt;3663;1830;1833
30.06.2011;14626050;      Bertsdorf-Hörnitz;2237;1134;1103
30.06.2011;14626060;      Boxberg/O.L.;4941;2495;2446
30.06.2011;14626070;      Dürrhennersdorf;1068;533;535
30.06.2011;14626085;      Ebersbach-Neugersdorf, Stadt;13531;6543;6988
30.06.2011;14626100;      Gablenz;1717;873;844
30.06.2011;14626110;      Görlitz, Stadt;54413;25950;28463
30.06.2011;14626120;      Groß Düben;1147;595;552
30.06.2011;14626140;      Großschönau;5921;2895;3026
30.06.2011;14626150;      Großschweidnitz;1335;690;645
30.06.2011;14626160;      Hähnichen;1354;685;669
30.06.2011;14626170;      Hainewalde;1623;830;793
30.06.2011;14626180;      Herrnhut, Stadt;6334;3108;3226
30.06.2011;14626190;      Hohendubrau;2017;1018;999
30.06.2011;14626200;      Horka;1871;948;923
30.06.2011;14626210;      Jonsdorf, Kurort;1714;822;892
30.06.2011;14626230;      Kodersdorf;2556;1298;1258
30.06.2011;14626240;      Königshain;1255;631;624
30.06.2011;14626245;      Kottmar;8050;3930;4120
30.06.2011;14626250;      Krauschwitz i.d. O.L.;3635;1797;1838
30.06.2011;14626260;      Kreba-Neudorf;955;471;484
30.06.2011;14626270;      Lawalde;1982;967;1015
30.06.2011;14626280;      Leutersdorf;3828;1889;1939
30.06.2011;14626290;      Löbau, Stadt;15989;7639;8350
30.06.2011;14626300;      Markersdorf;4089;2092;1997
30.06.2011;14626310;      Mittelherwigsdorf;3780;1903;1877
30.06.2011;14626320;      Mücka;1068;546;522
30.06.2011;14626330;      Neißeaue;1825;905;920
