SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,2,4,22751,11047,11704,7755,8052,1878,2097,37,30,821,927,14,8,542,590,8246,8590,2206,2460,91,85,1050,1160,29,30,10010,10657,7068,7392,1645,1835,20,11,805,916,10,5,462,498,7489,7848,1902,2123,59,47,1026,1140,20,24,1037,1047,687,660,233,262,17,19,16,11,4,3,80,92,757,742,304,337,32,38,24,20,9,6
050,36,001,New York,Albany County,2,5,32217,15737,16480,11495,11670,2309,2684,39,68,1211,1516,17,6,666,536,12099,12149,2699,3013,120,143,1491,1731,37,23,14416,15104,10650,10736,1982,2377,20,26,1202,1502,10,2,552,461,11150,11148,2282,2645,72,80,1476,1709,25,19,1321,1376,845,934,327,307,19,42,9,14,7,4,114,75,949,1001,417,368,48,63,15,22,12,4
050,36,001,New York,Albany County,2,6,21597,10816,10781,7635,7532,2006,1984,41,39,760,842,9,10,365,374,7964,7859,2196,2191,88,90,924,1008,33,29,9961,9853,7057,6895,1822,1787,12,16,753,836,6,8,311,311,7334,7167,1975,1943,43,51,913,995,29,23,855,928,578,637,184,197,29,23,7,6,3,2,54,63,630,692,221,248,45,39,11,13,4,6
050,36,001,New York,Albany County,2,7,19758,9895,9863,7273,6997,1521,1637,31,35,809,895,7,8,254,291,7492,7252,1612,1786,69,71,962,1037,26,29,9080,9099,6662,6482,1380,1461,15,14,798,889,4,6,221,247,6849,6696,1453,1575,43,39,947,1027,20,24,815,764,611,515,141,176,16,21,11,6,3,2,33,44,643,556,159,211,26,32,15,10,6,5
050,36,001,New York,Albany County,2,8,19775,9835,9940,7447,7188,1266,1515,23,27,885,958,6,11,208,241,7626,7382,1359,1625,56,72,995,1090,24,35,9122,9248,6918,6695,1133,1368,9,13,881,955,5,7,176,210,7067,6863,1202,1455,35,48,987,1083,22,30,713,692,529,493,133,147,14,14,4,3,1,4,32,31,559,519,157,170,21,24,8,7,2,5
050,36,001,New York,Albany County,2,9,17719,8826,8893,6669,6330,1144,1402,21,29,818,902,7,15,167,215,6812,6500,1223,1518,52,66,898,1013,19,33,8194,8322,6207,5948,1032,1270,11,14,809,897,2,7,133,186,6319,6094,1087,1360,36,45,887,1007,9,23,632,571,462,382,112,132,10,15,9,5,5,8,34,29,493,406,136,158,16,21,11,6,10,10
050,36,001,New York,Albany County,2,10,17073,8406,8667,6346,6410,1094,1303,23,27,837,758,5,4,101,165,6423,6527,1142,1398,44,61,891,838,12,18,7963,8147,6004,6045,1028,1201,9,8,834,756,1,2,87,135,6067,6134,1066,1275,29,36,887,834,6,13,443,520,342,365,66,102,14,19,3,2,4,2,14,30,356,393,76,123,15,25,4,4,6,5
050,36,001,New York,Albany County,2,11,19144,9470,9674,7604,7610,1129,1318,42,36,565,542,8,10,122,158,7691,7709,1180,1411,85,84,627,615,17,29,9036,9170,7287,7283,1057,1204,20,20,559,535,4,4,109,124,7361,7354,1103,1268,59,57,617,603,13,20,434,504,317,327,72,114,22,16,6,7,4,6,13,34,330,355,77,143,26,27,10,12,4,9
050,36,001,New York,Albany County,2,12,21297,10391,10906,8583,9004,1200,1273,40,32,443,474,3,4,122,119,8666,9084,1248,1335,81,83,506,518,20,12,10029,10520,8305,8744,1149,1190,20,19,440,469,2,3,113,95,8380,8800,1191,1233,60,67,500,511,19,11,362,386,278,260,51,83,20,13,3,5,1,1,9,24,286,284,57,102,21,16,6,7,1,1
050,36,001,New York,Albany County,2,13,20455,9987,10468,8474,8874,1022,1117,25,30,369,353,8,2,89,92,8537,8932,1061,1167,60,73,414,386,14,12,9704,10152,8274,8651,968,1059,13,19,365,346,4,2,80,75,8329,8692,999,1097,47,60,409,376,10,10,283,316,200,223,54,58,12,11,4,7,4,0,9,17,208,240,62,70,13,13,5,10,4,2
