"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Jul., 1999","1999/07","45-49 years","45-49",5677,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","50-54 years","50-54",7146,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","55-59 years","55-59",8541,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","60-64 years ","60-64",10691,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","65-69 years","65-69",14913,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","70-74 years","70-74",20935,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","75-79 years","75-79",26103,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","80-84 years","80-84",27391,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","85-89 years","85-89",24605,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","90-94 years","90-94",15658,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","95-99 years","95-99",6039,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","100+ years","100+",1278,Not Applicable,Not Applicable
,"Jul., 1999","1999/07","Not Stated","NS",29,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","< 1 year","1",2313,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","1-4 years","1-4",426,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","5-9 years","5-9",323,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","10-14 years","10-14",400,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","15-19 years","15-19",1307,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","20-24 years","20-24",1515,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","25-29 years","25-29",1562,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","30-34 years","30-34",1954,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","35-39 years","35-39",3180,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","40-44 years","40-44",4332,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","45-49 years","45-49",5510,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","50-54 years","50-54",6717,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","55-59 years","55-59",8343,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","60-64 years ","60-64",10543,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","65-69 years","65-69",14551,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","70-74 years","70-74",20142,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","75-79 years","75-79",25803,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","80-84 years","80-84",26690,Not Applicable,Not Applicable
