"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Jan., 2008","2008/01","5-9 years","5-9",214,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","10-14 years","10-14",277,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","15-19 years","15-19",1005,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","20-24 years","20-24",1653,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","25-29 years","25-29",1717,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","30-34 years","30-34",1816,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","35-39 years","35-39",2591,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","40-44 years","40-44",4110,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","45-49 years","45-49",6797,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","50-54 years","50-54",9554,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","55-59 years","55-59",11813,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","60-64 years ","60-64",14120,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","65-69 years","65-69",16205,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","70-74 years","70-74",19592,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","75-79 years","75-79",26742,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","80-84 years","80-84",33712,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","85-89 years","85-89",34432,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","90-94 years","90-94",23270,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","95-99 years","95-99",9393,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","100+ years","100+",1976,Not Applicable,Not Applicable
,"Jan., 2008","2008/01","Not Stated","NS",10,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","< 1 year","1",2338,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","1-4 years","1-4",421,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","5-9 years","5-9",250,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","10-14 years","10-14",255,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","15-19 years","15-19",908,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","20-24 years","20-24",1585,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","25-29 years","25-29",1633,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","30-34 years","30-34",1735,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","35-39 years","35-39",2582,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","40-44 years","40-44",4038,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","45-49 years","45-49",6775,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","50-54 years","50-54",9401,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","55-59 years","55-59",11650,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","60-64 years ","60-64",14150,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","65-69 years","65-69",15924,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","70-74 years","70-74",19335,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","75-79 years","75-79",26265,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","80-84 years","80-84",33567,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","85-89 years","85-89",34841,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","90-94 years","90-94",23928,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","95-99 years","95-99",9712,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","100+ years","100+",2130,Not Applicable,Not Applicable
,"Feb., 2008","2008/02","Not Stated","NS",18,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","< 1 year","1",2453,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","1-4 years","1-4",438,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","5-9 years","5-9",224,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","10-14 years","10-14",303,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","15-19 years","15-19",1012,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","20-24 years","20-24",1635,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","25-29 years","25-29",1797,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","30-34 years","30-34",1749,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","35-39 years","35-39",2597,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","40-44 years","40-44",4132,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","45-49 years","45-49",6761,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","50-54 years","50-54",9636,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","55-59 years","55-59",11790,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","60-64 years ","60-64",14479,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","65-69 years","65-69",16306,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","70-74 years","70-74",20154,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","75-79 years","75-79",26779,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","80-84 years","80-84",35653,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","85-89 years","85-89",36707,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","90-94 years","90-94",25284,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","95-99 years","95-99",10523,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","100+ years","100+",2291,Not Applicable,Not Applicable
,"Mar., 2008","2008/03","Not Stated","NS",12,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","< 1 year","1",2268,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","1-4 years","1-4",406,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","5-9 years","5-9",214,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","10-14 years","10-14",285,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","15-19 years","15-19",1028,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","20-24 years","20-24",1564,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","25-29 years","25-29",1718,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","30-34 years","30-34",1720,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","35-39 years","35-39",2442,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","40-44 years","40-44",3820,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","45-49 years","45-49",6356,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","50-54 years","50-54",8938,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","55-59 years","55-59",11059,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","60-64 years ","60-64",13210,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","65-69 years","65-69",14953,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","70-74 years","70-74",18119,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","75-79 years","75-79",24096,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","80-84 years","80-84",31005,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","85-89 years","85-89",31898,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","90-94 years","90-94",21466,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","95-99 years","95-99",8491,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","100+ years","100+",1734,Not Applicable,Not Applicable
,"Apr., 2008","2008/04","Not Stated","NS",11,Not Applicable,Not Applicable
,"May, 2008","2008/05","< 1 year","1",2424,Not Applicable,Not Applicable
,"May, 2008","2008/05","1-4 years","1-4",401,Not Applicable,Not Applicable
,"May, 2008","2008/05","5-9 years","5-9",231,Not Applicable,Not Applicable
,"May, 2008","2008/05","10-14 years","10-14",244,Not Applicable,Not Applicable
,"May, 2008","2008/05","15-19 years","15-19",1076,Not Applicable,Not Applicable
,"May, 2008","2008/05","20-24 years","20-24",1643,Not Applicable,Not Applicable
,"May, 2008","2008/05","25-29 years","25-29",1873,Not Applicable,Not Applicable
,"May, 2008","2008/05","30-34 years","30-34",1793,Not Applicable,Not Applicable
,"May, 2008","2008/05","35-39 years","35-39",2496,Not Applicable,Not Applicable
,"May, 2008","2008/05","40-44 years","40-44",3902,Not Applicable,Not Applicable
,"May, 2008","2008/05","45-49 years","45-49",6484,Not Applicable,Not Applicable
,"May, 2008","2008/05","50-54 years","50-54",8949,Not Applicable,Not Applicable
,"May, 2008","2008/05","55-59 years","55-59",11220,Not Applicable,Not Applicable
,"May, 2008","2008/05","60-64 years ","60-64",13211,Not Applicable,Not Applicable
,"May, 2008","2008/05","65-69 years","65-69",15131,Not Applicable,Not Applicable
,"May, 2008","2008/05","70-74 years","70-74",17989,Not Applicable,Not Applicable
,"May, 2008","2008/05","75-79 years","75-79",23667,Not Applicable,Not Applicable
,"May, 2008","2008/05","80-84 years","80-84",29752,Not Applicable,Not Applicable
,"May, 2008","2008/05","85-89 years","85-89",30241,Not Applicable,Not Applicable
,"May, 2008","2008/05","90-94 years","90-94",20202,Not Applicable,Not Applicable
,"May, 2008","2008/05","95-99 years","95-99",7843,Not Applicable,Not Applicable
,"May, 2008","2008/05","100+ years","100+",1643,Not Applicable,Not Applicable
,"May, 2008","2008/05","Not Stated","NS",13,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","< 1 year","1",2273,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","1-4 years","1-4",402,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","5-9 years","5-9",224,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","10-14 years","10-14",269,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","15-19 years","15-19",1058,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","20-24 years","20-24",1718,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","25-29 years","25-29",1719,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","30-34 years","30-34",1815,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","35-39 years","35-39",2470,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","40-44 years","40-44",3744,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","45-49 years","45-49",6245,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","50-54 years","50-54",8796,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","55-59 years","55-59",10719,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","60-64 years ","60-64",12726,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","65-69 years","65-69",14369,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","70-74 years","70-74",16978,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","75-79 years","75-79",21966,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","80-84 years","80-84",27997,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","85-89 years","85-89",27994,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","90-94 years","90-94",18447,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","95-99 years","95-99",7220,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","100+ years","100+",1433,Not Applicable,Not Applicable
,"Jun., 2008","2008/06","Not Stated","NS",12,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","< 1 year","1",2323,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","1-4 years","1-4",372,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","5-9 years","5-9",238,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","10-14 years","10-14",275,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","15-19 years","15-19",1117,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","20-24 years","20-24",1699,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","25-29 years","25-29",1858,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","30-34 years","30-34",1925,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","35-39 years","35-39",2519,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","40-44 years","40-44",3920,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","45-49 years","45-49",6235,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","50-54 years","50-54",8979,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","55-59 years","55-59",10819,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","60-64 years ","60-64",13012,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","65-69 years","65-69",14562,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","70-74 years","70-74",17022,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","75-79 years","75-79",22166,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","80-84 years","80-84",27874,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","85-89 years","85-89",27763,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","90-94 years","90-94",18636,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","95-99 years","95-99",7183,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","100+ years","100+",1483,Not Applicable,Not Applicable
,"Jul., 2008","2008/07","Not Stated","NS",10,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","< 1 year","1",2423,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","1-4 years","1-4",404,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","5-9 years","5-9",193,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","10-14 years","10-14",281,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","15-19 years","15-19",1082,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","20-24 years","20-24",1777,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","25-29 years","25-29",1825,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","30-34 years","30-34",1818,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","35-39 years","35-39",2524,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","40-44 years","40-44",3861,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","45-49 years","45-49",6360,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","50-54 years","50-54",8858,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","55-59 years","55-59",11038,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","60-64 years ","60-64",12760,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","65-69 years","65-69",14587,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","70-74 years","70-74",17246,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","75-79 years","75-79",22299,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","80-84 years","80-84",27632,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","85-89 years","85-89",27676,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","90-94 years","90-94",18475,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","95-99 years","95-99",7279,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","100+ years","100+",1520,Not Applicable,Not Applicable
,"Aug., 2008","2008/08","Not Stated","NS",11,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","< 1 year","1",2210,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","1-4 years","1-4",353,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","5-9 years","5-9",174,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","10-14 years","10-14",236,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","15-19 years","15-19",1008,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","20-24 years","20-24",1671,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","25-29 years","25-29",1675,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","30-34 years","30-34",1743,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","35-39 years","35-39",2385,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","40-44 years","40-44",3686,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","45-49 years","45-49",6180,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","50-54 years","50-54",8666,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","55-59 years","55-59",10510,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","60-64 years ","60-64",12571,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","65-69 years","65-69",14339,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","70-74 years","70-74",16627,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","75-79 years","75-79",21711,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","80-84 years","80-84",27588,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","85-89 years","85-89",27508,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","90-94 years","90-94",18291,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","95-99 years","95-99",7193,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","100+ years","100+",1443,Not Applicable,Not Applicable
,"Sep., 2008","2008/09","Not Stated","NS",13,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","< 1 year","1",2307,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","1-4 years","1-4",350,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","5-9 years","5-9",172,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","10-14 years","10-14",248,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","15-19 years","15-19",1026,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","20-24 years","20-24",1639,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","25-29 years","25-29",1661,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","30-34 years","30-34",1839,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","35-39 years","35-39",2407,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","40-44 years","40-44",3731,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","45-49 years","45-49",6308,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","50-54 years","50-54",8973,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","55-59 years","55-59",11279,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","60-64 years ","60-64",13171,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","65-69 years","65-69",15089,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","70-74 years","70-74",17848,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","75-79 years","75-79",23271,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","80-84 years","80-84",29498,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","85-89 years","85-89",29940,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","90-94 years","90-94",20131,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","95-99 years","95-99",7995,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","100+ years","100+",1637,Not Applicable,Not Applicable
,"Oct., 2008","2008/10","Not Stated","NS",15,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","< 1 year","1",2255,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","1-4 years","1-4",380,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","5-9 years","5-9",166,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","10-14 years","10-14",244,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","15-19 years","15-19",1040,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","20-24 years","20-24",1604,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","25-29 years","25-29",1663,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","30-34 years","30-34",1750,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","35-39 years","35-39",2360,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","40-44 years","40-44",3671,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","45-49 years","45-49",6261,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","50-54 years","50-54",8842,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","55-59 years","55-59",11001,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","60-64 years ","60-64",13538,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","65-69 years","65-69",15176,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","70-74 years","70-74",17884,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","75-79 years","75-79",23221,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","80-84 years","80-84",29851,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","85-89 years","85-89",30239,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","90-94 years","90-94",20576,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","95-99 years","95-99",8107,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","100+ years","100+",1711,Not Applicable,Not Applicable
,"Nov., 2008","2008/11","Not Stated","NS",17,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","< 1 year","1",2287,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","1-4 years","1-4",391,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","5-9 years","5-9",202,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","10-14 years","10-14",232,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","15-19 years","15-19",1047,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","20-24 years","20-24",1603,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","25-29 years","25-29",1647,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","30-34 years","30-34",1786,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","35-39 years","35-39",2491,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","40-44 years","40-44",3891,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","45-49 years","45-49",6655,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","50-54 years","50-54",9533,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","55-59 years","55-59",11810,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","60-64 years ","60-64",14526,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","65-69 years","65-69",16809,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","70-74 years","70-74",19335,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","75-79 years","75-79",25187,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","80-84 years","80-84",32061,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","85-89 years","85-89",33313,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","90-94 years","90-94",22675,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","95-99 years","95-99",8927,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","100+ years","100+",1891,Not Applicable,Not Applicable
,"Dec., 2008","2008/12","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","< 1 year","1",2283,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","1-4 years","1-4",373,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","5-9 years","5-9",234,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","10-14 years","10-14",260,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","15-19 years","15-19",941,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","20-24 years","20-24",1520,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","25-29 years","25-29",1681,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","30-34 years","30-34",1916,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","35-39 years","35-39",2553,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","40-44 years","40-44",4111,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","45-49 years","45-49",6760,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","50-54 years","50-54",9707,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","55-59 years","55-59",12193,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","60-64 years ","60-64",14602,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","65-69 years","65-69",16618,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","70-74 years","70-74",19574,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","75-79 years","75-79",25566,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","80-84 years","80-84",33316,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","85-89 years","85-89",34268,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","90-94 years","90-94",23427,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","95-99 years","95-99",9156,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","100+ years","100+",1889,Not Applicable,Not Applicable
,"Jan., 2009","2009/01","Not Stated","NS",14,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","< 1 year","1",2089,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","1-4 years","1-4",361,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","5-9 years","5-9",191,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","10-14 years","10-14",220,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","15-19 years","15-19",819,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","20-24 years","20-24",1434,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","25-29 years","25-29",1564,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","30-34 years","30-34",1705,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","35-39 years","35-39",2378,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","40-44 years","40-44",3595,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","45-49 years","45-49",5951,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","50-54 years","50-54",8758,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","55-59 years","55-59",11072,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","60-64 years ","60-64",13319,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","65-69 years","65-69",14941,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","70-74 years","70-74",17593,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","75-79 years","75-79",23075,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","80-84 years","80-84",29607,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","85-89 years","85-89",30942,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","90-94 years","90-94",20786,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","95-99 years","95-99",8311,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","100+ years","100+",1701,Not Applicable,Not Applicable
,"Feb., 2009","2009/02","Not Stated","NS",17,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","< 1 year","1",2328,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","1-4 years","1-4",417,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","5-9 years","5-9",225,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","10-14 years","10-14",263,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","15-19 years","15-19",918,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","20-24 years","20-24",1576,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","25-29 years","25-29",1723,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","30-34 years","30-34",1871,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","35-39 years","35-39",2488,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","40-44 years","40-44",3887,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","45-49 years","45-49",6625,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","50-54 years","50-54",9417,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","55-59 years","55-59",11869,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","60-64 years ","60-64",14288,Not Applicable,Not Applicable
,"Mar., 2009","2009/03","65-69 years","65-69",16170,Not Applicable,Not Applicable
