GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
23-Jährige;763549;821251;871690;883793;846490;850219;831157;858719;854629;894109;927031;946246;981546;1006480;1033701;1046719;1094029;1094002;1083648;1110845;1335121;1306065;1261877;1173169;1118025;1008342;914600;897168;880704;905701;921590;936609;952985;1003813;995985;999016;972035;962301;960436;988341;1006306;1004948;988850;1013206;938818;940583;935857;918306;916924;944591;955511;930132;939435
24-Jährige;714432;783165;837080;892008;882484;840308;849129;833664;863792;864024;906416;931503;944012;979250;1007957;1038838;1055167;1083485;1108929;1116095;1383514;1353601;1335258;1277371;1181219;1130779;1019153;920419;904484;890669;916064;936232;948860;962464;1011157;1003405;1005124;978079;965108;964830;997233;992593;1022753;1008508;1037458;981467;957107;952232;934648;931423;952624;973682;967234
25-Jährige;617822;730430;795898;856341;888702;874693;837893;850421;837064;871287;874710;910674;928747;941002;980513;1012695;1046492;1047265;1098139;1140124;1399012;1400480;1379675;1348929;1283467;1192479;1138959;1022838;925025;912320;898814;928552;946009;956147;967850;1016846;1007075;1009292;978716;967824;971896;982758;1009129;1041333;1030691;1081508;996131;971610;967092;947032;939020;968595;1008816
26-Jährige;812374;632222;740105;810476;851660;879966;871136;837413;852363;843136;879992;878058;906678;925305;941685;984309;1020166;1034820;1061096;1127533;1431920;1415558;1423865;1391570;1354056;1292644;1199776;1140812;1024445;931254;918245;909454;936263;951628;959583;971856;1019020;1009423;1008347;979347;973619;954515;997984;1025853;1062175;1069607;1094013;1009672;985364;978142;953617;953757;1002870
27-Jährige;831972;824578;640810;751027;804823;841395;874760;870292;838274;857419;850113;883052;874037;902318;924989;944707;990195;1007565;1047687;1089297;1425394;1446343;1437922;1434830;1395399;1361772;1297946;1200702;1141563;1029212;935974;927431;916169;940907;954065;962637;973311;1020405;1007662;1008035;983666;957214;968465;1013420;1044361;1099077;1081506;1105660;1021919;995515;984464;966208;985773
28-Jährige;820080;842192;831560;651364;745094;794440;835284;873111;870501;841585;863509;852136;878734;869837;901337;927772;950304;978124;1019870;1073954;1382525;1439419;1466266;1448534;1439027;1401990;1366035;1297283;1200145;1144718;1032886;943227;933124;919707;942967;956210;963339;974244;1018060;1006705;1011732;966985;969962;982960;1030624;1077451;1108891;1092555;1116459;1030314;1000769;994633;996246
29-Jährige;993529;831001;848709;841613;645366;734655;787819;832665;872044;873979;845827;865197;847877;874499;868419;903323;932492;937892;990177;1045128;1366026;1395470;1458035;1475317;1451538;1444655;1405492;1364371;1295356;1202052;1147340;1038983;947840;935548;920783;944528;956383;963366;971407;1016509;1009673;993935;978339;982860;998975;1060038;1086215;1118583;1102501;1123468;1035069;1009536;1022711
30-Jährige;1079518;1002580;839557;860106;835425;635507;727833;784349;831209;874518;878458;847108;860872;843876;872592;870032;907483;923902;948775;1014303;1328274;1378573;1413509;1466775;1478526;1456918;1447560;1402863;1361263;1296324;1203587;1151707;1042534;949498;935934;922096;944179;955863;959710;969371;1019099;990640;1004337;989933;997920;1028283;1068203;1094733;1127589;1109227;1127628;1042411;1037159
31-Jährige;1065490;1088432;1006559;847126;853909;825914;629043;724017;782490;832478;877548;878902;843072;856370;841626;873554;873478;898865;934472;970613;1292266;1340894;1394025;1421346;1469776;1483187;1459343;1444642;1399273;1362258;1296851;1207656;1154077;1043319;948735;936798;921312;943930;952482;957707;971668;994638;1000455;1015149;1003047;1023414;1036328;1075886;1103635;1133582;1112935;1134154;1069698
32-Jährige;1007994;1073707;1092247;1012083;840795;843930;819229;625659;721506;783062;834602;877426;874152;839321;853577;842526;876479;863770;908610;955621;1229214;1302947;1357962;1401195;1424858;1474638;1485294;1456501;1440606;1398811;1362199;1299552;1209961;1154414;1042715;949096;935869;920945;940425;950558;959664;950345;1003639;1010056;1027335;1026274;1029887;1043548;1083657;1109010;1136859;1118705;1160820
