year,age_group,jurisdiction,population
2008,0-64,Hessen,78048
2008,0-64,Mecklenburg-Vorpommern,26318
2008,0-64,Niedersachsen,101829
2008,0-64,Nordrhein-Westfalen,224307
2008,0-64,Rheinland-Pfalz,54450
2008,0-64,Saarland,14666
2008,0-64,Sachsen,66900
2008,0-64,Sachsen-Anhalt,36917
2008,0-64,Schleswig-Holstein,35400
2008,0-64,Thüringen,36277
2008,0-64,Baden-Württemberg,133175
2008,0-64,Bayern,156371
2008,0-64,Berlin,45990
2008,0-64,Brandenburg,36835
2008,0-64,Bremen,8504
2008,0-64,Hamburg,20178
2008,0-64,Hessen,80226
2008,0-64,Mecklenburg-Vorpommern,24462
2008,0-64,Niedersachsen,102821
2008,0-64,Nordrhein-Westfalen,226384
2008,0-64,Rheinland-Pfalz,55225
2008,0-64,Saarland,15068
2008,0-64,Sachsen,64158
2008,0-64,Sachsen-Anhalt,36461
2008,0-64,Schleswig-Holstein,35935
2008,0-64,Thüringen,34550
2008,0-64,Baden-Württemberg,130554
2008,0-64,Bayern,152673
2008,0-64,Berlin,42907
2008,0-64,Brandenburg,31230
2008,0-64,Bremen,8583
2008,0-64,Hamburg,19949
2008,0-64,Hessen,79795
2008,0-64,Mecklenburg-Vorpommern,21147
2008,0-64,Niedersachsen,101486
2008,0-64,Nordrhein-Westfalen,224916
2008,0-64,Rheinland-Pfalz,53855
2008,0-64,Saarland,15328
2008,0-64,Sachsen,56330
2008,0-64,Sachsen-Anhalt,32488
2008,0-64,Schleswig-Holstein,35861
2008,0-64,Thüringen,30803
2008,0-64,Baden-Württemberg,121560
2008,0-64,Bayern,146187
2008,0-64,Berlin,39412
2008,0-64,Brandenburg,26948
2008,0-64,Bremen,7954
2008,0-64,Hamburg,19596
2008,0-64,Hessen,75222
2008,0-64,Mecklenburg-Vorpommern,18474
2008,0-64,Niedersachsen,94387
2008,0-64,Nordrhein-Westfalen,206967
2008,0-64,Rheinland-Pfalz,46614
2008,0-64,Saarland,13437
2008,0-64,Sachsen,45186
2008,0-64,Sachsen-Anhalt,27532
2008,0-64,Schleswig-Holstein,35464
2008,0-64,Thüringen,26711
2008,0-64,Baden-Württemberg,113327
2008,0-64,Bayern,143446
2008,0-64,Berlin,36880
2008,0-64,Brandenburg,25893
2008,0-64,Bremen,7660
2008,0-64,Hamburg,18704
2008,0-64,Hessen,70466
2008,0-64,Mecklenburg-Vorpommern,17232
2008,0-64,Niedersachsen,86566
2008,0-64,Nordrhein-Westfalen,190849
2008,0-64,Rheinland-Pfalz,41598
2008,0-64,Saarland,10881
2008,0-64,Sachsen,45186
2008,0-64,Sachsen-Anhalt,26880
2008,0-64,Schleswig-Holstein,33210
2008,0-64,Thüringen,25368
2008,0-64,Baden-Württemberg,99300
2008,0-64,Bayern,126923
2008,0-64,Berlin,29115
2008,0-64,Brandenburg,17561
2008,0-64,Bremen,7529
2008,0-64,Hamburg,17422
2008,0-64,Hessen,60474
2008,0-64,Mecklenburg-Vorpommern,11404
2008,0-64,Niedersachsen,81445
2008,0-64,Nordrhein-Westfalen,175024
2008,0-64,Rheinland-Pfalz,37266
2008,0-64,Saarland,8897
2008,0-64,Sachsen,34048
2008,0-64,Sachsen-Anhalt,21899
2008,0-64,Schleswig-Holstein,31219
2008,0-64,Thüringen,21078
2008,0-64,Baden-Württemberg,86147
2008,0-64,Bayern,103037
2008,0-64,Berlin,32632
2008,0-64,Brandenburg,20763
2008,0-64,Bremen,6158
2008,0-64,Hamburg,15690
2008,0-64,Hessen,50759
2008,0-64,Mecklenburg-Vorpommern,12338
2008,0-64,Niedersachsen,64623
2008,0-64,Nordrhein-Westfalen,149166
2008,0-64,Rheinland-Pfalz,31418
2008,0-64,Saarland,8257
2008,0-64,Sachsen,40264
2008,0-64,Sachsen-Anhalt,22165
2008,0-64,Schleswig-Holstein,25947
2008,0-64,Thüringen,19811
2008,0-64,Baden-Württemberg,111050
2008,0-64,Bayern,132682
2008,0-64,Berlin,42670
2008,0-64,Brandenburg,31104
2008,0-64,Bremen,7695
2008,0-64,Hamburg,19496
2008,0-64,Hessen,67474
2008,0-64,Mecklenburg-Vorpommern,18491
2008,0-64,Niedersachsen,86206
2008,0-64,Nordrhein-Westfalen,191111
2008,0-64,Rheinland-Pfalz,41131
2008,0-64,Saarland,11200
2008,0-64,Sachsen,58563
2008,0-64,Sachsen-Anhalt,31056
2008,0-64,Schleswig-Holstein,34445
2008,0-64,Thüringen,28781
2008,65-74,Baden-Württemberg,112134
2008,65-74,Bayern,132681
2008,65-74,Berlin,44403
2008,65-74,Brandenburg,33447
2008,65-74,Bremen,7962
2008,65-74,Hamburg,19533
2008,65-74,Hessen,66799
2008,65-74,Mecklenburg-Vorpommern,20235
2008,65-74,Niedersachsen,89287
2008,65-74,Nordrhein-Westfalen,191739
2008,65-74,Rheinland-Pfalz,41011
2008,65-74,Saarland,10944
2008,65-74,Sachsen,57952
2008,65-74,Sachsen-Anhalt,32198
2008,65-74,Schleswig-Holstein,35799
2008,65-74,Thüringen,29044
2008,65-74,Baden-Württemberg,110350
2008,65-74,Bayern,129154
2008,65-74,Berlin,42366
2008,65-74,Brandenburg,32351
2008,65-74,Bremen,7870
2008,65-74,Hamburg,19186
2008,65-74,Hessen,63510
2008,65-74,Mecklenburg-Vorpommern,19632
2008,65-74,Niedersachsen,87080
2008,65-74,Nordrhein-Westfalen,187418
2008,65-74,Rheinland-Pfalz,40197
2008,65-74,Saarland,10779
2008,65-74,Sachsen,53709
2008,65-74,Sachsen-Anhalt,31892
2008,65-74,Schleswig-Holstein,34690
2008,65-74,Thüringen,27248
2008,65-74,Baden-Württemberg,131868
2008,65-74,Bayern,156434
2008,65-74,Berlin,48619
2008,65-74,Brandenburg,40368
2008,65-74,Bremen,8812
2008,65-74,Hamburg,21631
2008,65-74,Hessen,76048
2008,65-74,Mecklenburg-Vorpommern,25180
2008,65-74,Niedersachsen,105478
2008,65-74,Nordrhein-Westfalen,221756
2008,65-74,Rheinland-Pfalz,49811
2008,65-74,Saarland,13735
2008,65-74,Sachsen,66860
2008,65-74,Sachsen-Anhalt,38887
2008,65-74,Schleswig-Holstein,41604
2008,65-74,Thüringen,34973
2008,65-74,Baden-Württemberg,137869
2008,65-74,Bayern,166252
2008,65-74,Berlin,46515
2008,65-74,Brandenburg,40461
2008,65-74,Bremen,9164
2008,65-74,Hamburg,22092
2008,65-74,Hessen,81155
2008,65-74,Mecklenburg-Vorpommern,25569
2008,65-74,Niedersachsen,110185
2008,65-74,Nordrhein-Westfalen,238836
2008,65-74,Rheinland-Pfalz,54076
2008,65-74,Saarland,14436
2008,65-74,Sachsen,68524
2008,65-74,Sachsen-Anhalt,39950
2008,65-74,Schleswig-Holstein,41950
2008,65-74,Thüringen,37490
2008,65-74,Baden-Württemberg,135141
2008,65-74,Bayern,162578
2008,65-74,Berlin,43141
2008,65-74,Brandenburg,39255
2008,65-74,Bremen,8838
2008,65-74,Hamburg,20920
2008,65-74,Hessen,78266
2008,65-74,Mecklenburg-Vorpommern,25693
2008,65-74,Niedersachsen,107365
2008,65-74,Nordrhein-Westfalen,232914
2008,65-74,Rheinland-Pfalz,53106
2008,65-74,Saarland,14732
2008,65-74,Sachsen,66881
2008,65-74,Sachsen-Anhalt,38772
2008,65-74,Schleswig-Holstein,41351
2008,65-74,Thüringen,36416
2008,65-74,Baden-Württemberg,125645
2008,65-74,Bayern,146783
2008,65-74,Berlin,39807
2008,65-74,Brandenburg,36092
2008,65-74,Bremen,8506
2008,65-74,Hamburg,19912
2008,65-74,Hessen,71421
2008,65-74,Mecklenburg-Vorpommern,23986
2008,65-74,Niedersachsen,102082
2008,65-74,Nordrhein-Westfalen,219642
2008,65-74,Rheinland-Pfalz,49503
2008,65-74,Saarland,13677
2008,65-74,Sachsen,60826
2008,65-74,Sachsen-Anhalt,34831
2008,65-74,Schleswig-Holstein,38772
2008,65-74,Thüringen,31746
2008,65-74,Baden-Württemberg,116051
2008,65-74,Bayern,133488
2008,65-74,Berlin,37336
2008,65-74,Brandenburg,33055
2008,65-74,Bremen,7941
2008,65-74,Hamburg,18569
2008,65-74,Hessen,66401
2008,65-74,Mecklenburg-Vorpommern,21800
2008,65-74,Niedersachsen,93245
2008,65-74,Nordrhein-Westfalen,205680
2008,65-74,Rheinland-Pfalz,46165
2008,65-74,Saarland,13459
2008,65-74,Sachsen,55292
2008,65-74,Sachsen-Anhalt,32409
2008,65-74,Schleswig-Holstein,35319
2008,65-74,Thüringen,29030
2008,65-74,Baden-Württemberg,111353
2008,65-74,Bayern,126959
2008,65-74,Berlin,35331
2008,65-74,Brandenburg,31862
2008,65-74,Bremen,7641
2008,65-74,Hamburg,17893
2008,65-74,Hessen,64013
2008,65-74,Mecklenburg-Vorpommern,21049
2008,65-74,Niedersachsen,88864
2008,65-74,Nordrhein-Westfalen,197475
2008,65-74,Rheinland-Pfalz,45082
2008,65-74,Saarland,13394
2008,65-74,Sachsen,53964
2008,65-74,Sachsen-Anhalt,31040
2008,65-74,Schleswig-Holstein,33294
2008,65-74,Thüringen,28109
2008,65-74,Baden-Württemberg,105216
2008,65-74,Bayern,118777
2008,65-74,Berlin,33894
2008,65-74,Brandenburg,30879
2008,65-74,Bremen,7082
2008,65-74,Hamburg,17151
2008,65-74,Hessen,60246
2008,65-74,Mecklenburg-Vorpommern,20143
2008,65-74,Niedersachsen,83416
2008,65-74,Nordrhein-Westfalen,188783
2008,65-74,Rheinland-Pfalz,42371
2008,65-74,Saarland,11996
2008,65-74,Sachsen,53158
2008,65-74,Sachsen-Anhalt,29757
2008,65-74,Schleswig-Holstein,31004
2008,65-74,Thüringen,26822
2008,65-74,Baden-Württemberg,94165
2008,65-74,Bayern,109875
2008,65-74,Berlin,30970
2008,65-74,Brandenburg,27905
2008,65-74,Bremen,6404
2008,65-74,Hamburg,14733
2008,65-74,Hessen,55215
2008,65-74,Mecklenburg-Vorpommern,18688
2008,65-74,Niedersachsen,75748
2008,65-74,Nordrhein-Westfalen,174845
2008,65-74,Rheinland-Pfalz,38625
2008,65-74,Saarland,10365
2008,65-74,Sachsen,48506
2008,65-74,Sachsen-Anhalt,27394
2008,65-74,Schleswig-Holstein,27750
2008,65-74,Thüringen,24579
2008,75-84,Baden-Württemberg,78278
2008,75-84,Bayern,91379
2008,75-84,Berlin,21964
2008,75-84,Brandenburg,21166
2008,75-84,Bremen,4835
2008,75-84,Hamburg,11310
2008,75-84,Hessen,43600
2008,75-84,Mecklenburg-Vorpommern,14800
2008,75-84,Niedersachsen,58485
2008,75-84,Nordrhein-Westfalen,136129
2008,75-84,Rheinland-Pfalz,31067
2008,75-84,Saarland,8769
2008,75-84,Sachsen,37287
2008,75-84,Sachsen-Anhalt,21575
2008,75-84,Schleswig-Holstein,20452
2008,75-84,Thüringen,18992
2008,75-84,Baden-Württemberg,75374
2008,75-84,Bayern,88642
2008,75-84,Berlin,20046
2008,75-84,Brandenburg,20428
2008,75-84,Bremen,4815
2008,75-84,Hamburg,10674
2008,75-84,Hessen,42098
2008,75-84,Mecklenburg-Vorpommern,14549
2008,75-84,Niedersachsen,57629
2008,75-84,Nordrhein-Westfalen,133645
2008,75-84,Rheinland-Pfalz,30498
2008,75-84,Saarland,8911
2008,75-84,Sachsen,35954
2008,75-84,Sachsen-Anhalt,20943
2008,75-84,Schleswig-Holstein,19587
2008,75-84,Thüringen,18855
2008,75-84,Baden-Württemberg,74645
2008,75-84,Bayern,88170
2008,75-84,Berlin,20158
2008,75-84,Brandenburg,19744
2008,75-84,Bremen,4705
2008,75-84,Hamburg,10892
2008,75-84,Hessen,41871
2008,75-84,Mecklenburg-Vorpommern,13706
2008,75-84,Niedersachsen,57442
2008,75-84,Nordrhein-Westfalen,132751
2008,75-84,Rheinland-Pfalz,30486
2008,75-84,Saarland,8760
2008,75-84,Sachsen,36489
2008,75-84,Sachsen-Anhalt,20677
2008,75-84,Schleswig-Holstein,19376
2008,75-84,Thüringen,18263
2008,75-84,Baden-Württemberg,75428
2008,75-84,Bayern,87394
2008,75-84,Berlin,20530
2008,75-84,Brandenburg,19915
2008,75-84,Bremen,4849
2008,75-84,Hamburg,11340
2008,75-84,Hessen,43303
2008,75-84,Mecklenburg-Vorpommern,13485
2008,75-84,Niedersachsen,58815
2008,75-84,Nordrhein-Westfalen,137531
2008,75-84,Rheinland-Pfalz,31127
2008,75-84,Saarland,8579
2008,75-84,Sachsen,38255
2008,75-84,Sachsen-Anhalt,20905
2008,75-84,Schleswig-Holstein,19462
2008,75-84,Thüringen,19022
2008,75-84,Baden-Württemberg,70396
2008,75-84,Bayern,83043
2008,75-84,Berlin,19094
2008,75-84,Brandenburg,17923
2008,75-84,Bremen,4717
2008,75-84,Hamburg,10730
2008,75-84,Hessen,40977
2008,75-84,Mecklenburg-Vorpommern,12032
2008,75-84,Niedersachsen,54574
2008,75-84,Nordrhein-Westfalen,127960
2008,75-84,Rheinland-Pfalz,29296
2008,75-84,Saarland,7983
2008,75-84,Sachsen,36313
2008,75-84,Sachsen-Anhalt,19331
2008,75-84,Schleswig-Holstein,18495
2008,75-84,Thüringen,17413
2008,75-84,Baden-Württemberg,67280
2008,75-84,Bayern,78651
2008,75-84,Berlin,17612
2008,75-84,Brandenburg,16361
2008,75-84,Bremen,4648
2008,75-84,Hamburg,10514
2008,75-84,Hessen,39342
2008,75-84,Mecklenburg-Vorpommern,10940
2008,75-84,Niedersachsen,53043
2008,75-84,Nordrhein-Westfalen,122305
2008,75-84,Rheinland-Pfalz,28168
2008,75-84,Saarland,7669
2008,75-84,Sachsen,33266
2008,75-84,Sachsen-Anhalt,18315
2008,75-84,Schleswig-Holstein,18053
2008,75-84,Thüringen,16556
2008,75-84,Baden-Württemberg,59837
2008,75-84,Bayern,72150
2008,75-84,Berlin,15384
2008,75-84,Brandenburg,13763
2008,75-84,Bremen,4112
2008,75-84,Hamburg,9439
2008,75-84,Hessen,35552
2008,75-84,Mecklenburg-Vorpommern,9271
2008,75-84,Niedersachsen,48460
2008,75-84,Nordrhein-Westfalen,108980
2008,75-84,Rheinland-Pfalz,25489
2008,75-84,Saarland,6913
2008,75-84,Sachsen,28758
2008,75-84,Sachsen-Anhalt,15589
2008,75-84,Schleswig-Holstein,15906
2008,75-84,Thüringen,14522
2008,75-84,Baden-Württemberg,56058
2008,75-84,Bayern,67348
2008,75-84,Berlin,14793
2008,75-84,Brandenburg,12485
2008,75-84,Bremen,3924
2008,75-84,Hamburg,9009
2008,75-84,Hessen,33785
2008,75-84,Mecklenburg-Vorpommern,8116
2008,75-84,Niedersachsen,44532
2008,75-84,Nordrhein-Westfalen,100397
2008,75-84,Rheinland-Pfalz,23899
2008,75-84,Saarland,6333
2008,75-84,Sachsen,27323
2008,75-84,Sachsen-Anhalt,14162
2008,75-84,Schleswig-Holstein,14895
2008,75-84,Thüringen,13454
2008,75-84,Baden-Württemberg,52591
2008,75-84,Bayern,62793
2008,75-84,Berlin,13594
2008,75-84,Brandenburg,11211
2008,75-84,Bremen,3630
2008,75-84,Hamburg,8597
2008,75-84,Hessen,31492
2008,75-84,Mecklenburg-Vorpommern,7362
2008,75-84,Niedersachsen,42377
2008,75-84,Nordrhein-Westfalen,92766
2008,75-84,Rheinland-Pfalz,22098
2008,75-84,Saarland,5795
2008,75-84,Sachsen,24612
2008,75-84,Sachsen-Anhalt,13026
2008,75-84,Schleswig-Holstein,14533
2008,75-84,Thüringen,12020
2008,75-84,Baden-Württemberg,45254
2008,75-84,Bayern,54834
2008,75-84,Berlin,11421
2008,75-84,Brandenburg,9422
2008,75-84,Bremen,3139
2008,75-84,Hamburg,7638
2008,75-84,Hessen,27850
2008,75-84,Mecklenburg-Vorpommern,6155
2008,75-84,Niedersachsen,36536
2008,75-84,Nordrhein-Westfalen,81361
2008,75-84,Rheinland-Pfalz,19179
2008,75-84,Saarland,5398
2008,75-84,Sachsen,20632
2008,75-84,Sachsen-Anhalt,11115
2008,75-84,Schleswig-Holstein,12624
2008,75-84,Thüringen,10320
2008,85+,Baden-Württemberg,41533
2008,85+,Bayern,50237
2008,85+,Berlin,9462
2008,85+,Brandenburg,8132
2008,85+,Bremen,2976
2008,85+,Hamburg,6715
2008,85+,Hessen,24834
2008,85+,Mecklenburg-Vorpommern,5362
2008,85+,Niedersachsen,32386
2008,85+,Nordrhein-Westfalen,70549
2008,85+,Rheinland-Pfalz,17159
2008,85+,Saarland,4991
2008,85+,Sachsen,19047
2008,85+,Sachsen-Anhalt,9833
2008,85+,Schleswig-Holstein,11496
2008,85+,Thüringen,9170
2008,85+,Baden-Württemberg,38111
2008,85+,Bayern,46533
2008,85+,Berlin,9653
2008,85+,Brandenburg,7818
2008,85+,Bremen,2822
2008,85+,Hamburg,6469
2008,85+,Hessen,22952
2008,85+,Mecklenburg-Vorpommern,4874
2008,85+,Niedersachsen,30592
2008,85+,Nordrhein-Westfalen,65887
2008,85+,Rheinland-Pfalz,15879
2008,85+,Saarland,4207
2008,85+,Sachsen,18483
2008,85+,Sachsen-Anhalt,9320
2008,85+,Schleswig-Holstein,10771
2008,85+,Thüringen,8492
2008,85+,Baden-Württemberg,35850
2008,85+,Bayern,42816
2008,85+,Berlin,9689
2008,85+,Brandenburg,7317
2008,85+,Bremen,2745
2008,85+,Hamburg,6133
2008,85+,Hessen,21153
2008,85+,Mecklenburg-Vorpommern,4573
2008,85+,Niedersachsen,28149
2008,85+,Nordrhein-Westfalen,58937
2008,85+,Rheinland-Pfalz,14008
2008,85+,Saarland,3629
2008,85+,Sachsen,17960
2008,85+,Sachsen-Anhalt,8595
2008,85+,Schleswig-Holstein,10343
2008,85+,Thüringen,7947
2008,85+,Baden-Württemberg,30762
2008,85+,Bayern,35914
2008,85+,Berlin,8955
2008,85+,Brandenburg,6135
2008,85+,Bremen,2340
2008,85+,Hamburg,5551
2008,85+,Hessen,18163
2008,85+,Mecklenburg-Vorpommern,3847
2008,85+,Niedersachsen,23695
2008,85+,Nordrhein-Westfalen,48581
2008,85+,Rheinland-Pfalz,11470
2008,85+,Saarland,2752
2008,85+,Sachsen,15819
2008,85+,Sachsen-Anhalt,7350
2008,85+,Schleswig-Holstein,8866
2008,85+,Thüringen,6549
2008,85+,Baden-Württemberg,20234
2008,85+,Bayern,23850
2008,85+,Berlin,6116
2008,85+,Brandenburg,3935
2008,85+,Bremen,1660
2008,85+,Hamburg,3699
2008,85+,Hessen,11549
2008,85+,Mecklenburg-Vorpommern,2392
2008,85+,Niedersachsen,15453
2008,85+,Nordrhein-Westfalen,32045
2008,85+,Rheinland-Pfalz,7499
2008,85+,Saarland,1837
2008,85+,Sachsen,9344
2008,85+,Sachsen-Anhalt,4458
2008,85+,Schleswig-Holstein,5670
2008,85+,Thüringen,3914
2008,85+,Baden-Württemberg,68151
2008,85+,Bayern,68137
2008,85+,Berlin,23820
2008,85+,Brandenburg,12989
2008,85+,Bremen,5290
2008,85+,Hamburg,13024
2008,85+,Hessen,40563
2008,85+,Mecklenburg-Vorpommern,7793
2008,85+,Niedersachsen,52899
2008,85+,Nordrhein-Westfalen,106252
2008,85+,Rheinland-Pfalz,28121
2008,85+,Saarland,6191
2008,85+,Sachsen,27081
2008,85+,Sachsen-Anhalt,12980
2008,85+,Schleswig-Holstein,20607
2008,85+,Thüringen,11485
2008,all,Baden-Württemberg,10749506
2008,all,Bayern,12519728
2008,all,Berlin,3431675
2008,all,Brandenburg,2522493
2008,all,Bremen,661866
2008,all,Hamburg,1772100
2008,all,Hessen,6064953
2008,all,Mecklenburg-Vorpommern,1664356
2008,all,Niedersachsen,7947244
2008,all,Nordrhein-Westfalen,17933064
2008,all,Rheinland-Pfalz,4028351
2008,all,Saarland,1030324
2008,all,Sachsen,4192801
2008,all,Sachsen-Anhalt,2381872
2008,all,Schleswig-Holstein,2834260
2008,all,Thüringen,2267763
2009,0-64,Baden-Württemberg,89809
2009,0-64,Bayern,104431
2009,0-64,Berlin,31981
2009,0-64,Brandenburg,18637
2009,0-64,Bremen,5446
2009,0-64,Hamburg,16526
2009,0-64,Hessen,50652
2009,0-64,Mecklenburg-Vorpommern,12991
2009,0-64,Niedersachsen,62232
2009,0-64,Nordrhein-Westfalen,144670
2009,0-64,Rheinland-Pfalz,30793
2009,0-64,Saarland,6919
2009,0-64,Sachsen,34049
2009,0-64,Sachsen-Anhalt,17138
2009,0-64,Schleswig-Holstein,22046
2009,0-64,Thüringen,16831
2009,0-64,Baden-Württemberg,92963
2009,0-64,Bayern,107694
2009,0-64,Berlin,31970
2009,0-64,Brandenburg,19417
2009,0-64,Bremen,5421
2009,0-64,Hamburg,16439
2009,0-64,Hessen,51998
2009,0-64,Mecklenburg-Vorpommern,13099
2009,0-64,Niedersachsen,65515
2009,0-64,Nordrhein-Westfalen,150775
2009,0-64,Rheinland-Pfalz,32583
2009,0-64,Saarland,7193
2009,0-64,Sachsen,34457
2009,0-64,Sachsen-Anhalt,17706
2009,0-64,Schleswig-Holstein,23127
2009,0-64,Thüringen,17439
2009,0-64,Baden-Württemberg,93847
2009,0-64,Bayern,108487
2009,0-64,Berlin,30934
2009,0-64,Brandenburg,19350
2009,0-64,Bremen,5485
2009,0-64,Hamburg,16330
2009,0-64,Hessen,52938
2009,0-64,Mecklenburg-Vorpommern,12813
2009,0-64,Niedersachsen,66072
2009,0-64,Nordrhein-Westfalen,151291
2009,0-64,Rheinland-Pfalz,32825
2009,0-64,Saarland,7206
2009,0-64,Sachsen,33858
2009,0-64,Sachsen-Anhalt,17305
2009,0-64,Schleswig-Holstein,23641
2009,0-64,Thüringen,17128
2009,0-64,Baden-Württemberg,93109
2009,0-64,Bayern,106758
2009,0-64,Berlin,29266
2009,0-64,Brandenburg,18821
2009,0-64,Bremen,5339
2009,0-64,Hamburg,15548
2009,0-64,Hessen,51473
2009,0-64,Mecklenburg-Vorpommern,12546
2009,0-64,Niedersachsen,66100
2009,0-64,Nordrhein-Westfalen,150338
2009,0-64,Rheinland-Pfalz,32171
2009,0-64,Saarland,7203
2009,0-64,Sachsen,32452
2009,0-64,Sachsen-Anhalt,16718
2009,0-64,Schleswig-Holstein,23510
2009,0-64,Thüringen,16288
2009,0-64,Baden-Württemberg,95295
2009,0-64,Bayern,109295
2009,0-64,Berlin,28184
2009,0-64,Brandenburg,18911
2009,0-64,Bremen,5237
2009,0-64,Hamburg,15394
2009,0-64,Hessen,53130
2009,0-64,Mecklenburg-Vorpommern,12133
2009,0-64,Niedersachsen,67989
2009,0-64,Nordrhein-Westfalen,153592
2009,0-64,Rheinland-Pfalz,33097
2009,0-64,Saarland,7465
2009,0-64,Sachsen,32372
2009,0-64,Sachsen-Anhalt,16851
2009,0-64,Schleswig-Holstein,23979
2009,0-64,Thüringen,16587
2009,0-64,Baden-Württemberg,97845
2009,0-64,Bayern,111778
2009,0-64,Berlin,28173
2009,0-64,Brandenburg,19406
2009,0-64,Bremen,5178
2009,0-64,Hamburg,15110
2009,0-64,Hessen,53970
2009,0-64,Mecklenburg-Vorpommern,12884
2009,0-64,Niedersachsen,71396
2009,0-64,Nordrhein-Westfalen,158037
2009,0-64,Rheinland-Pfalz,34161
2009,0-64,Saarland,7687
2009,0-64,Sachsen,32936
2009,0-64,Sachsen-Anhalt,16912
2009,0-64,Schleswig-Holstein,25195
2009,0-64,Thüringen,17063
2009,0-64,Baden-Württemberg,98340
2009,0-64,Bayern,112868
2009,0-64,Berlin,26715
2009,0-64,Brandenburg,19603
2009,0-64,Bremen,5217
2009,0-64,Hamburg,14703
2009,0-64,Hessen,53545
2009,0-64,Mecklenburg-Vorpommern,12641
2009,0-64,Niedersachsen,71884
2009,0-64,Nordrhein-Westfalen,159778
2009,0-64,Rheinland-Pfalz,34769
2009,0-64,Saarland,7646
2009,0-64,Sachsen,31799
2009,0-64,Sachsen-Anhalt,16439
2009,0-64,Schleswig-Holstein,25444
2009,0-64,Thüringen,16633
2009,0-64,Baden-Württemberg,100571
2009,0-64,Bayern,114749
2009,0-64,Berlin,26686
2009,0-64,Brandenburg,19356
2009,0-64,Bremen,5136
2009,0-64,Hamburg,14530
2009,0-64,Hessen,54655
2009,0-64,Mecklenburg-Vorpommern,12337
2009,0-64,Niedersachsen,74716
2009,0-64,Nordrhein-Westfalen,163729
2009,0-64,Rheinland-Pfalz,35588
2009,0-64,Saarland,8003
2009,0-64,Sachsen,31267
2009,0-64,Sachsen-Anhalt,17010
2009,0-64,Schleswig-Holstein,26133
2009,0-64,Thüringen,16617
2009,0-64,Baden-Württemberg,103229
2009,0-64,Bayern,117410
2009,0-64,Berlin,26357
2009,0-64,Brandenburg,19243
2009,0-64,Bremen,5407
2009,0-64,Hamburg,14399
2009,0-64,Hessen,55944
2009,0-64,Mecklenburg-Vorpommern,12618
2009,0-64,Niedersachsen,77796
2009,0-64,Nordrhein-Westfalen,168472
2009,0-64,Rheinland-Pfalz,36784
2009,0-64,Saarland,8284
2009,0-64,Sachsen,31387
2009,0-64,Sachsen-Anhalt,17212
2009,0-64,Schleswig-Holstein,27073
2009,0-64,Thüringen,16943
2009,0-64,Baden-Württemberg,108568
2009,0-64,Bayern,122904
2009,0-64,Berlin,27024
2009,0-64,Brandenburg,20338
2009,0-64,Bremen,5719
2009,0-64,Hamburg,14518
2009,0-64,Hessen,58447
2009,0-64,Mecklenburg-Vorpommern,12817
2009,0-64,Niedersachsen,81872
2009,0-64,Nordrhein-Westfalen,176774
2009,0-64,Rheinland-Pfalz,39125
2009,0-64,Saarland,8727
2009,0-64,Sachsen,32245
2009,0-64,Sachsen-Anhalt,17640
2009,0-64,Schleswig-Holstein,28693
2009,0-64,Thüringen,16920
2009,0-64,Baden-Württemberg,110495
2009,0-64,Bayern,124208
2009,0-64,Berlin,26643
2009,0-64,Brandenburg,19893
2009,0-64,Bremen,5617
2009,0-64,Hamburg,14556
2009,0-64,Hessen,58397
2009,0-64,Mecklenburg-Vorpommern,12159
2009,0-64,Niedersachsen,82852
2009,0-64,Nordrhein-Westfalen,178087
2009,0-64,Rheinland-Pfalz,39472
2009,0-64,Saarland,9066
2009,0-64,Sachsen,30468
2009,0-64,Sachsen-Anhalt,16908
2009,0-64,Schleswig-Holstein,29240
2009,0-64,Thüringen,16298
2009,0-64,Baden-Württemberg,113564
2009,0-64,Bayern,128261
2009,0-64,Berlin,26159
2009,0-64,Brandenburg,19321
2009,0-64,Bremen,5843
2009,0-64,Hamburg,14805
2009,0-64,Hessen,60113
2009,0-64,Mecklenburg-Vorpommern,11886
2009,0-64,Niedersachsen,85787
2009,0-64,Nordrhein-Westfalen,184056
2009,0-64,Rheinland-Pfalz,41035
2009,0-64,Saarland,9171
2009,0-64,Sachsen,29084
2009,0-64,Sachsen-Anhalt,16316
2009,0-64,Schleswig-Holstein,29778
2009,0-64,Thüringen,16132
2009,0-64,Baden-Württemberg,118267
2009,0-64,Bayern,131933
2009,0-64,Berlin,26509
2009,0-64,Brandenburg,18833
2009,0-64,Bremen,6003
2009,0-64,Hamburg,15061
2009,0-64,Hessen,62232
2009,0-64,Mecklenburg-Vorpommern,11852
2009,0-64,Niedersachsen,89424
2009,0-64,Nordrhein-Westfalen,192434
2009,0-64,Rheinland-Pfalz,43046
2009,0-64,Saarland,9970
2009,0-64,Sachsen,28081
2009,0-64,Sachsen-Anhalt,15993
2009,0-64,Schleswig-Holstein,31155
2009,0-64,Thüringen,16049
2009,0-64,Baden-Württemberg,116516
2009,0-64,Bayern,131150
2009,0-64,Berlin,25835
2009,0-64,Brandenburg,17871
2009,0-64,Bremen,5936
2009,0-64,Hamburg,15033
2009,0-64,Hessen,61690
2009,0-64,Mecklenburg-Vorpommern,11098
2009,0-64,Niedersachsen,87720
2009,0-64,Nordrhein-Westfalen,190711
2009,0-64,Rheinland-Pfalz,42362
2009,0-64,Saarland,10137
