"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"USA-MN","USA - Minnesota",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-MO","USA - Missouri",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MO","USA - Missouri",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-MS","USA - Mississippi",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MS","USA - Mississippi",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-MS","USA - Mississippi",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-MT","USA - Montana",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-MT","USA - Montana",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-MT","USA - Montana",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NC","USA - North Carolina",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-NC","USA - North Carolina",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-ND","USA - North Dakota",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-ND","USA - North Dakota",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-ND","USA - North Dakota",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NE","USA - Nebraska",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-NE","USA - Nebraska",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-NE","USA - Nebraska",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NH","USA - New Hampshire",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-NH","USA - New Hampshire",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-NH","USA - New Hampshire",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NJ","USA - New Jersey",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-NJ","USA - New Jersey",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-NM","USA - New Mexico",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-NM","USA - New Mexico",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-NM","USA - New Mexico",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NV","USA - Nevada",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-NV","USA - Nevada",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-NV","USA - Nevada",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-NY","USA - New York",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-NY","USA - New York",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-OH","USA - Ohio",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-OH","USA - Ohio",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-OK","USA - Oklahoma",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-OK","USA - Oklahoma",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-OK","USA - Oklahoma",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-OR","USA - Oregon",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-OR","USA - Oregon",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-OR","USA - Oregon",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-PA","USA - Pennsylvania",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-PA","USA - Pennsylvania",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-RI","USA - Rhode Island",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-RI","USA - Rhode Island",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-RI","USA - Rhode Island",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-SC","USA - South Carolina",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-SC","USA - South Carolina",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-SC","USA - South Carolina",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-SD","USA - South Dakota",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-SD","USA - South Dakota",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-SD","USA - South Dakota",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-TN","USA - Tennessee",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
