"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"DEU","Germany",3,"mortality_org",2000-01-03,2023-08-28,"0-14, 15-64, 65-74, 75-84, 85+, all"
"DEU","Germany",3,"world_mortality",2014-12-29,2023-08-28,"all"
"DEU-BB","DEU - Brandenburg",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-BE","DEU - Berlin",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-BW","DEU - Baden-Württemberg",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-BY","DEU - Bayern",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-HB","DEU - Bremen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-HE","DEU - Hessen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-HH","DEU - Hamburg",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-MV","DEU - Mecklenburg-Vorpommern",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-NI","DEU - Niedersachsen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-NW","DEU - Nordrhein-Westfalen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-RP","DEU - Rheinland-Pfalz",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-SH","DEU - Schleswig-Holstein",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-SL","DEU - Saarland",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-SN","DEU - Sachsen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-ST","DEU - Sachsen-Anhalt",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DEU-TH","DEU - Thüringen",3,"destatis",2000-01-03,2023-08-14,"0-64, 65-74, 75-84, 85+, all"
"DNK","Denmark",3,"eurostat",2007-01-01,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"DNK","Denmark",3,"mortality_org",2007-01-01,2023-09-04,"0-14, 15-64, 65-74, 75-84, 85+, all"
"DNK","Denmark",3,"world_mortality",2014-12-29,2023-09-04,"all"
"DOM","Dominican Republic",2,"world_mortality",2015-01-01,2022-10-01,"all"
"DZA","Algeria",2,"world_mortality",2018-01-01,2020-12-01,"all"
"ECU","Ecuador",3,"world_mortality",2014-12-29,2023-08-28,"all"
"EGY","Egypt",2,"world_mortality",2015-01-01,2023-06-01,"all"
"ESP","Spain",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"ESP","Spain",3,"mortality_org",2000-01-03,2023-08-21,"0-14, 15-64, 65-74, 75-84, 85+, all"
"ESP","Spain",3,"world_mortality",2014-12-29,2023-08-21,"all"
"EST","Estonia",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"EST","Estonia",3,"mortality_org",2000-01-03,2023-09-04,"0-14, 15-64, 65-74, 75-84, 85+, all"
"EST","Estonia",3,"world_mortality",2014-12-29,2023-09-11,"all"
"FIN","Finland",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"FIN","Finland",3,"mortality_org",1990-01-01,2023-08-07,"0-14, 15-64, 65-74, 75-84, 85+, all"
"FIN","Finland",3,"world_mortality",2014-12-29,2023-07-31,"all"
"FRA","France",3,"eurostat",2012-12-31,2016-12-26,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"FRA","France",3,"mortality_org",2000-01-03,2023-08-21,"0-14, 15-64, 65-74, 75-84, 85+, all"
"FRA","France",3,"world_mortality",2014-12-29,2023-08-21,"all"
"FRO","Faroe Islands",2,"world_mortality",2015-01-01,2023-05-01,"all"
"GBR","United Kingdom",3,"eurostat",2014-12-29,2018-12-31,"0-9, 10-19, 20-29, 30-39, 50-59, 60-69, 70-79, 80+, all, 40-49"
"GBR","United Kingdom",3,"world_mortality",2014-12-29,2023-08-28,"all"
"GBRTENW","England & Wales",3,"mortality_org",2010-01-04,2023-08-28,"0-14, 15-64, 65-74, 75-84, 85+, all"
"GBR_NIR","Northern Ireland",3,"mortality_org",2015-01-05,2023-09-04,"0-14, 15-64, 65-74, 75-84, 85+, all"
"GBR_SCO","Scotland",3,"mortality_org",2000-01-10,2023-09-04,"0-14, 15-64, 65-74, 75-84, 85+, all"
"GEO","Georgia",3,"eurostat",2013-12-30,2020-12-28,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"GEO","Georgia",2,"world_mortality",2015-01-01,2023-06-01,"all"
"GIB","Gibraltar",2,"world_mortality",2015-01-01,2021-01-01,"all"
"GLP","Guadeloupe",3,"world_mortality",2014-12-29,2023-08-21,"all"
"GRC","Greece",3,"eurostat",2014-12-29,2020-12-28,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"GRC","Greece",3,"mortality_org",2014-12-29,2023-07-31,"0-14, 15-64, 65-74, 75-84, 85+, all"
"GRC","Greece",3,"world_mortality",2014-12-29,2023-07-31,"all"
"GRL","Greenland",2,"world_mortality",2015-01-01,2023-06-01,"all"
"GTM","Guatemala",3,"world_mortality",2014-12-29,2022-12-26,"all"
"GUF","French Guiana",3,"world_mortality",2014-12-29,2023-08-21,"all"
"HKG","Hong Kong S.A.R.",2,"world_mortality",2015-01-01,2023-05-01,"all"
"HRV","Croatia",3,"eurostat",2000-01-03,2020-12-28,"all, 0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"HRV","Croatia",3,"mortality_org",2001-01-01,2023-07-31,"0-14, 15-64, 65-74, 75-84, 85+, all"
"HRV","Croatia",3,"world_mortality",2014-12-29,2023-07-31,"all"
"HUN","Hungary",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"HUN","Hungary",3,"mortality_org",2000-01-03,2023-08-07,"0-14, 15-64, 65-74, 75-84, 85+, all"
"HUN","Hungary",3,"world_mortality",2014-12-29,2023-08-07,"all"
"IRL","Ireland",3,"eurostat",2013-12-30,2021-12-27,"all"
"IRL","Ireland",3,"world_mortality",2014-12-29,2023-07-31,"all"
"IRN","Iran",3,"world_mortality",2014-12-29,2022-10-03,"all"
"ISL","Iceland",3,"eurostat",2000-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"ISL","Iceland",3,"mortality_org",2000-01-03,2023-07-31,"0-14, 15-64, 65-74, 75-84, 85+, all"
"ISL","Iceland",3,"world_mortality",2014-12-29,2023-07-31,"all"
"ISR","Israel",3,"mortality_org",2000-01-03,2023-08-14,"0-14, 15-64, 65-74, 75-84, 85+, all"
"ISR","Israel",3,"world_mortality",2014-12-29,2023-08-14,"all"
"ITA","Italy",3,"eurostat",2011-01-03,2021-12-27,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"ITA","Italy",3,"mortality_org",2011-01-03,2023-06-19,"0-14, 15-64, 65-74, 75-84, 85+, all"
"ITA","Italy",3,"world_mortality",2014-12-29,2023-07-31,"all"
"JAM","Jamaica",2,"world_mortality",2015-01-01,2021-11-01,"all"
"JOR","Jordan",2,"world_mortality",2015-01-01,2022-12-01,"all"
"JPN","Japan",2,"world_mortality",2015-01-01,2023-06-01,"all"
"KAZ","Kazakhstan",2,"world_mortality",2015-01-01,2023-07-01,"all"
"KGZ","Kyrgyzstan",2,"world_mortality",2015-01-01,2023-07-01,"all"
"KNA","Saint Kitts And Nevis",2,"world_mortality",2016-01-01,2022-09-01,"all"
"KOR","South Korea",3,"mortality_org",2010-01-04,2023-06-26,"0-14, 15-64, 65-74, 75-84, 85+, all"
"KOR","South Korea",3,"world_mortality",2014-12-29,2023-06-26,"all"
"KWT","Kuwait",2,"world_mortality",2015-01-01,2022-12-01,"all"
"LBN","Lebanon",2,"world_mortality",2015-01-01,2021-12-01,"all"
