"iso3c","chart_type","type","window"
"DEU-ST","yearly","asmr_country","10"
"DEU-TH","yearly","asmr_country","10"
"DJI","yearly","asmr_country",
"DMA","yearly","asmr_country",
"DNK","yearly","asmr_country","5"
"DOM","yearly","asmr_country",
"DZA","yearly","asmr_country",
"ECU","yearly","asmr_country",
"EGY","yearly","asmr_country",
"ERI","yearly","asmr_country",
"ESH","yearly","asmr_country",
"ESP","yearly","asmr_country","6"
"EST","yearly","asmr_country","5"
"ETH","yearly","asmr_country",
"FIN","yearly","asmr_country","5"
"FJI","yearly","asmr_country",
"FLK","yearly","asmr_country",
"FRA","yearly","asmr_country","6"
"FRO","yearly","asmr_country",
"FSM","yearly","asmr_country",
"GAB","yearly","asmr_country",
"GBR","yearly","asmr_country",
"GBRTENW","yearly","asmr_country","5"
"GBR_NIR","yearly","asmr_country",
"GBR_SCO","yearly","asmr_country","5"
"GEO","yearly","asmr_country",
"GGY","yearly","asmr_country",
"GHA","yearly","asmr_country",
"GIB","yearly","asmr_country",
"GIN","yearly","asmr_country",
"GLP","yearly","asmr_country",
"GMB","yearly","asmr_country",
"GNB","yearly","asmr_country",
"GNQ","yearly","asmr_country",
"GRC","yearly","asmr_country",
"GRD","yearly","asmr_country",
"GRL","yearly","asmr_country",
"GTM","yearly","asmr_country",
"GUF","yearly","asmr_country",
"GUM","yearly","asmr_country",
"GUY","yearly","asmr_country",
"HKG","yearly","asmr_country",
"HND","yearly","asmr_country",
"HRV","yearly","asmr_country","12"
"HTI","yearly","asmr_country",
"HUN","yearly","asmr_country","12"
"IDN","yearly","asmr_country",
"IMN","yearly","asmr_country",
"IND","yearly","asmr_country",
"IRL","yearly","asmr_country",
"IRN","yearly","asmr_country",
"IRQ","yearly","asmr_country",
"ISL","yearly","asmr_country","11"
"ISR","yearly","asmr_country","6"
"ITA","yearly","asmr_country","5"
"JAM","yearly","asmr_country",
"JEY","yearly","asmr_country",
"JOR","yearly","asmr_country",
"JPN","yearly","asmr_country",
"KAZ","yearly","asmr_country",
"KEN","yearly","asmr_country",
"KGZ","yearly","asmr_country",
"KHM","yearly","asmr_country",
"KIR","yearly","asmr_country",
"KNA","yearly","asmr_country",
"KOR","yearly","asmr_country","6"
"KWT","yearly","asmr_country",
"LAO","yearly","asmr_country",
"LBN","yearly","asmr_country",
"LBR","yearly","asmr_country",
"LBY","yearly","asmr_country",
"LCA","yearly","asmr_country",
"LIE","yearly","asmr_country","10"
"LKA","yearly","asmr_country",
"LSO","yearly","asmr_country",
"LTU","yearly","asmr_country","12"
"LUX","yearly","asmr_country","6"
"LVA","yearly","asmr_country","5"
"MAC","yearly","asmr_country",
"MAF","yearly","asmr_country",
"MAR","yearly","asmr_country",
"MCO","yearly","asmr_country",
"MDA","yearly","asmr_country",
"MDG","yearly","asmr_country",
"MDV","yearly","asmr_country",
"MEX","yearly","asmr_country",
"MHL","yearly","asmr_country",
"MKD","yearly","asmr_country",
"MLI","yearly","asmr_country",
"MLT","yearly","asmr_country","5"
"MMR","yearly","asmr_country",
"MNE","yearly","asmr_country","11"
"MNG","yearly","asmr_country",
"MNP","yearly","asmr_country",
"MOZ","yearly","asmr_country",
"MRT","yearly","asmr_country",
"MSR","yearly","asmr_country",
"MTQ","yearly","asmr_country",
"MUS","yearly","asmr_country",
"MWI","yearly","asmr_country",
"MYS","yearly","asmr_country",
"MYT","yearly","asmr_country",
"NAM","yearly","asmr_country",
"NCL","yearly","asmr_country",
"NER","yearly","asmr_country",
"NGA","yearly","asmr_country",
"NIC","yearly","asmr_country",
"NIU","yearly","asmr_country",
"NLD","yearly","asmr_country","5"
"NOR","yearly","asmr_country","12"
"NPL","yearly","asmr_country",
"NRU","yearly","asmr_country",
"NZL","yearly","asmr_country","5"
"OMN","yearly","asmr_country",
"PAK","yearly","asmr_country",
"PAN","yearly","asmr_country",
"PER","yearly","asmr_country",
"PHL","yearly","asmr_country",
"PLW","yearly","asmr_country",
"PNG","yearly","asmr_country",
"POL","yearly","asmr_country","5"
"PRI","yearly","asmr_country",
"PRK","yearly","asmr_country",
"PRT","yearly","asmr_country","6"
"PRY","yearly","asmr_country",
"PSE","yearly","asmr_country",
"PYF","yearly","asmr_country",
"QAT","yearly","asmr_country",
"REU","yearly","asmr_country",
"ROU","yearly","asmr_country",
"RUS","yearly","asmr_country","9"
"RWA","yearly","asmr_country",
"SAU","yearly","asmr_country",
"SDN","yearly","asmr_country",
"SEN","yearly","asmr_country",
"SGP","yearly","asmr_country",
"SHN","yearly","asmr_country",
"SLB","yearly","asmr_country",
"SLE","yearly","asmr_country",
"SLV","yearly","asmr_country",
"SMR","yearly","asmr_country",
"SOM","yearly","asmr_country",
"SPM","yearly","asmr_country",
"SRB","yearly","asmr_country","8"
"SSD","yearly","asmr_country",
"STP","yearly","asmr_country",
"SUR","yearly","asmr_country",
"SVK","yearly","asmr_country","5"
"SVN","yearly","asmr_country","5"
"SWE","yearly","asmr_country","12"
"SWZ","yearly","asmr_country",
"SXM","yearly","asmr_country",
"SYC","yearly","asmr_country",
"SYR","yearly","asmr_country",
"TCA","yearly","asmr_country",
"TCD","yearly","asmr_country",
"TGO","yearly","asmr_country",
"THA","yearly","asmr_country",
"TJK","yearly","asmr_country",
"TKL","yearly","asmr_country",
"TKM","yearly","asmr_country",
"TLS","yearly","asmr_country",
"TON","yearly","asmr_country",
"TTO","yearly","asmr_country",
"TUN","yearly","asmr_country",
"TUR","yearly","asmr_country",
"TUV","yearly","asmr_country",
"TWN","yearly","asmr_country","6"
"TZA","yearly","asmr_country",
"UGA","yearly","asmr_country",
"UKR","yearly","asmr_country",
"URY","yearly","asmr_country",
"USA","yearly","asmr_country","5"
"USA-AK","yearly","asmr_country","10"
"USA-AL","yearly","asmr_country","5"
"USA-AR","yearly","asmr_country","5"
"USA-AZ","yearly","asmr_country","5"
"USA-CA","yearly","asmr_country","5"
"USA-CO","yearly","asmr_country","5"
"USA-CT","yearly","asmr_country","5"
"USA-DC","yearly","asmr_country","5"
"USA-DE","yearly","asmr_country","6"
"USA-FL","yearly","asmr_country","5"
"USA-GA","yearly","asmr_country","5"
"USA-HI","yearly","asmr_country","7"
"USA-IA","yearly","asmr_country","6"
"USA-ID","yearly","asmr_country","5"
"USA-IL","yearly","asmr_country","5"
"USA-IN","yearly","asmr_country","5"
"USA-KS","yearly","asmr_country","6"
"USA-KY","yearly","asmr_country","5"
"USA-LA","yearly","asmr_country","7"
"USA-MA","yearly","asmr_country","5"
"USA-MD","yearly","asmr_country","5"
"USA-ME","yearly","asmr_country","5"
"USA-MI","yearly","asmr_country","5"
"USA-MN","yearly","asmr_country","5"
"USA-MO","yearly","asmr_country","6"
"USA-MS","yearly","asmr_country","5"
"USA-MT","yearly","asmr_country","7"
"USA-NC","yearly","asmr_country","5"
"USA-ND","yearly","asmr_country","9"
"USA-NE","yearly","asmr_country","6"
"USA-NH","yearly","asmr_country","5"
"USA-NJ","yearly","asmr_country","5"
"USA-NM","yearly","asmr_country","6"
"USA-NV","yearly","asmr_country","5"
"USA-NY","yearly","asmr_country","5"
"USA-OH","yearly","asmr_country","5"
"USA-OK","yearly","asmr_country","7"
"USA-OR","yearly","asmr_country","5"
"USA-PA","yearly","asmr_country","5"
"USA-RI","yearly","asmr_country","5"
"USA-SC","yearly","asmr_country","5"
"USA-SD","yearly","asmr_country","6"
"USA-TN","yearly","asmr_country","5"
"USA-TX","yearly","asmr_country","6"
"USA-UT","yearly","asmr_country","5"
"USA-VA","yearly","asmr_country","5"
"USA-VT","yearly","asmr_country","6"
"USA-WA","yearly","asmr_country","7"
"USA-WI","yearly","asmr_country","5"
"USA-WV","yearly","asmr_country","6"
"USA-WY","yearly","asmr_country","6"
"UZB","yearly","asmr_country",
"VCT","yearly","asmr_country",
"VEN","yearly","asmr_country",
"VGB","yearly","asmr_country",
"VIR","yearly","asmr_country",
"VNM","yearly","asmr_country",
"VUT","yearly","asmr_country",
"WLF","yearly","asmr_country",
"WSM","yearly","asmr_country",
"XKX","yearly","asmr_country",
"YEM","yearly","asmr_country",
"ZAF","yearly","asmr_country",
"ZMB","yearly","asmr_country",
"ZWE","yearly","asmr_country",
"ALB","fluseason","deaths","5"
"ABW","fluseason","deaths","5"
"AFG","fluseason","deaths","7"
"AGO","fluseason","deaths","5"
"AND","fluseason","deaths","5"
"ARE","fluseason","deaths","5"
"ARG","fluseason","deaths","7"
"ARM","fluseason","deaths","12"
"ASM","fluseason","deaths","12"
"ATG","fluseason","deaths","5"
"AUS","fluseason","deaths","6"
"AUT","fluseason","deaths","7"
"AZE","fluseason","deaths","5"
"BDI","fluseason","deaths","9"
"BEL","fluseason","deaths","9"
"BEN","fluseason","deaths","5"
"BES","fluseason","deaths","9"
"BFA","fluseason","deaths","5"
"BGD","fluseason","deaths","12"
"BGR","fluseason","deaths","5"
"BHR","fluseason","deaths","6"
"BHS","fluseason","deaths","12"
"BIH","fluseason","deaths","12"
"BLR","fluseason","deaths","5"
"BLZ","fluseason","deaths","5"
"BMU","fluseason","deaths","12"
"BOL","fluseason","deaths","9"
"BRA","fluseason","deaths","5"
"BRB","fluseason","deaths","5"
"BRN","fluseason","deaths","5"
"BTN","fluseason","deaths","5"
"BWA","fluseason","deaths","5"
"CAF","fluseason","deaths","5"
"CAN","fluseason","deaths","5"
"CHE","fluseason","deaths","9"
"CHL","fluseason","deaths","5"
"CHN","fluseason","deaths","12"
"CIV","fluseason","deaths","5"
"CMR","fluseason","deaths","10"
"COD","fluseason","deaths","5"
"COG","fluseason","deaths","6"
"COK","fluseason","deaths","5"
"COL","fluseason","deaths","8"
"COM","fluseason","deaths","5"
"CPV","fluseason","deaths","5"
"CRI","fluseason","deaths","6"
"CUB","fluseason","deaths","5"
"CUW","fluseason","deaths","5"
"CYM","fluseason","deaths","5"
"CYP","fluseason","deaths","12"
"CZE","fluseason","deaths","7"
"DEU","fluseason","deaths","8"
"DEU-BB","fluseason","deaths","5"
"DEU-BE","fluseason","deaths","6"
"DEU-BW","fluseason","deaths","8"
"DEU-BY","fluseason","deaths","8"
"DEU-HB","fluseason","deaths","9"
"DEU-HE","fluseason","deaths","8"
"DEU-HH","fluseason","deaths","5"
"DEU-MV","fluseason","deaths","5"
"DEU-NI","fluseason","deaths","8"
"DEU-NW","fluseason","deaths","8"
"DEU-RP","fluseason","deaths","7"
"DEU-SH","fluseason","deaths","8"
"DEU-SL","fluseason","deaths","7"
"DEU-SN","fluseason","deaths","5"
"DEU-ST","fluseason","deaths","9"
"DEU-TH","fluseason","deaths","9"
"DJI","fluseason","deaths","5"
"DMA","fluseason","deaths","5"
"DNK","fluseason","deaths","8"
"DOM","fluseason","deaths","6"
"DZA","fluseason","deaths","5"
"ECU","fluseason","deaths","7"
"EGY","fluseason","deaths","5"
"ERI","fluseason","deaths","12"
"ESH","fluseason","deaths","5"
"ESP","fluseason","deaths","8"
"EST","fluseason","deaths","5"
"ETH","fluseason","deaths","12"
"FIN","fluseason","deaths","6"
"FJI","fluseason","deaths","5"
"FLK","fluseason","deaths",
"FRA","fluseason","deaths","8"
"FRO","fluseason","deaths","10"
"FSM","fluseason","deaths","5"
"GAB","fluseason","deaths","5"
"GBR","fluseason","deaths","7"
"GBRTENW","fluseason","deaths","5"
"GBR_NIR","fluseason","deaths",
"GBR_SCO","fluseason","deaths","5"
"GEO","fluseason","deaths","5"
"GGY","fluseason","deaths","10"
"GHA","fluseason","deaths","5"
"GIB","fluseason","deaths","8"
"GIN","fluseason","deaths","5"
"GLP","fluseason","deaths","5"
"GMB","fluseason","deaths","5"
"GNB","fluseason","deaths","5"
"GNQ","fluseason","deaths","10"
"GRC","fluseason","deaths","11"
"GRD","fluseason","deaths","7"
"GRL","fluseason","deaths","5"
"GTM","fluseason","deaths","9"
"GUF","fluseason","deaths","6"
"GUM","fluseason","deaths","5"
"GUY","fluseason","deaths","5"
"HKG","fluseason","deaths","5"
"HND","fluseason","deaths","12"
"HRV","fluseason","deaths","9"
"HTI","fluseason","deaths","12"
"HUN","fluseason","deaths","6"
"IDN","fluseason","deaths","11"
"IMN","fluseason","deaths","6"
"IND","fluseason","deaths","10"
"IRL","fluseason","deaths","5"
"IRN","fluseason","deaths","6"
"IRQ","fluseason","deaths","11"
"ISL","fluseason","deaths","12"
"ISR","fluseason","deaths","6"
"ITA","fluseason","deaths","8"
"JAM","fluseason","deaths","5"
"JEY","fluseason","deaths","11"
"JOR","fluseason","deaths","5"
"JPN","fluseason","deaths","8"
"KAZ","fluseason","deaths","6"
"KEN","fluseason","deaths","5"
"KGZ","fluseason","deaths","5"
"KHM","fluseason","deaths","12"
"KIR","fluseason","deaths","5"
"KNA","fluseason","deaths","5"
"KOR","fluseason","deaths","12"
"KWT","fluseason","deaths","8"
"LAO","fluseason","deaths","5"
"LBN","fluseason","deaths","9"
"LBR","fluseason","deaths","7"
"LBY","fluseason","deaths","6"
"LCA","fluseason","deaths","5"
"LIE","fluseason","deaths","12"
"LKA","fluseason","deaths","7"
"LSO","fluseason","deaths","5"
"LTU","fluseason","deaths","5"
"LUX","fluseason","deaths","8"
"LVA","fluseason","deaths","5"
"MAC","fluseason","deaths","5"
"MAF","fluseason","deaths","9"
"MAR","fluseason","deaths","5"
"MCO","fluseason","deaths","6"
"MDA","fluseason","deaths","5"
"MDG","fluseason","deaths","5"
"MDV","fluseason","deaths","6"
"MEX","fluseason","deaths","5"
"MHL","fluseason","deaths","9"
"MKD","fluseason","deaths","9"
"MLI","fluseason","deaths","5"
"MLT","fluseason","deaths","7"
"MMR","fluseason","deaths","12"
"MNE","fluseason","deaths","5"
"MNG","fluseason","deaths","8"
"MNP","fluseason","deaths","5"
"MOZ","fluseason","deaths","5"
"MRT","fluseason","deaths","5"
"MTQ","fluseason","deaths","8"
"MUS","fluseason","deaths","11"
"MWI","fluseason","deaths","5"
"MYS","fluseason","deaths","5"
"MYT","fluseason","deaths","5"
"NAM","fluseason","deaths","5"
"NCL","fluseason","deaths","5"
"NER","fluseason","deaths","5"
"NGA","fluseason","deaths","5"
"NIC","fluseason","deaths","9"
"NLD","fluseason","deaths","5"
"NOR","fluseason","deaths","7"
"NPL","fluseason","deaths","5"
"NZL","fluseason","deaths","10"
"OMN","fluseason","deaths","6"
"PAK","fluseason","deaths","7"
"PAN","fluseason","deaths","5"
"PER","fluseason","deaths","6"
"PHL","fluseason","deaths","5"
"PLW","fluseason","deaths","5"
"PNG","fluseason","deaths","5"
"POL","fluseason","deaths","7"
"PRI","fluseason","deaths","5"
"PRK","fluseason","deaths","12"
"PRT","fluseason","deaths","10"
"PRY","fluseason","deaths","7"
"PSE","fluseason","deaths","12"
"PYF","fluseason","deaths","6"
"QAT","fluseason","deaths","8"
"REU","fluseason","deaths","8"
"ROU","fluseason","deaths","12"
"RUS","fluseason","deaths","5"
"RWA","fluseason","deaths","12"
"SAU","fluseason","deaths","5"
"SDN","fluseason","deaths","6"
"SEN","fluseason","deaths","5"
"SGP","fluseason","deaths","12"
"SLB","fluseason","deaths","8"
"SLE","fluseason","deaths","5"
"SLV","fluseason","deaths","5"
"SMR","fluseason","deaths","12"
"SOM","fluseason","deaths","12"
"SRB","fluseason","deaths","5"
"SSD","fluseason","deaths","12"
"STP","fluseason","deaths","5"
"SUR","fluseason","deaths","5"
"SVK","fluseason","deaths","11"
"SVN","fluseason","deaths","6"
"SWE","fluseason","deaths","8"
"SWZ","fluseason","deaths","5"
"SXM","fluseason","deaths","10"
"SYC","fluseason","deaths","7"
"SYR","fluseason","deaths","12"
"TCA","fluseason","deaths","5"
"TCD","fluseason","deaths","5"
"TGO","fluseason","deaths","5"
"THA","fluseason","deaths","5"
"TJK","fluseason","deaths","5"
"TKL","fluseason","deaths","5"
"TKM","fluseason","deaths","5"
"TLS","fluseason","deaths","5"
"TON","fluseason","deaths","5"
"TTO","fluseason","deaths","5"
"TUN","fluseason","deaths","5"
"TUR","fluseason","deaths","5"
"TUV","fluseason","deaths","5"
"TWN","fluseason","deaths","7"
"TZA","fluseason","deaths","5"
"UGA","fluseason","deaths","5"
"UKR","fluseason","deaths","5"
"URY","fluseason","deaths","5"
"USA","fluseason","deaths","6"
"USA-AK","fluseason","deaths","9"
"USA-AL","fluseason","deaths","6"
"USA-AR","fluseason","deaths","8"
"USA-AZ","fluseason","deaths","5"
"USA-CA","fluseason","deaths","5"
"USA-CO","fluseason","deaths","5"
"USA-CT","fluseason","deaths","5"
"USA-DC","fluseason","deaths","5"
"USA-DE","fluseason","deaths","5"
"USA-FL","fluseason","deaths","5"
"USA-GA","fluseason","deaths","5"
"USA-HI","fluseason","deaths","7"
"USA-IA","fluseason","deaths","8"
"USA-ID","fluseason","deaths","5"
"USA-IL","fluseason","deaths","5"
"USA-IN","fluseason","deaths","5"
"USA-KS","fluseason","deaths","6"
"USA-KY","fluseason","deaths","5"
"USA-LA","fluseason","deaths","6"
"USA-MA","fluseason","deaths","5"
"USA-MD","fluseason","deaths","5"
"USA-ME","fluseason","deaths","5"
"USA-MI","fluseason","deaths","5"
"USA-MN","fluseason","deaths","5"
"USA-MO","fluseason","deaths","5"
"USA-MS","fluseason","deaths","6"
"USA-MT","fluseason","deaths","7"
"USA-NC","fluseason","deaths","5"
"USA-ND","fluseason","deaths","5"
"USA-NE","fluseason","deaths","6"
"USA-NH","fluseason","deaths","5"
"USA-NJ","fluseason","deaths","5"
"USA-NM","fluseason","deaths","9"
"USA-NV","fluseason","deaths","5"
"USA-NY","fluseason","deaths","5"
"USA-OH","fluseason","deaths","5"
"USA-OK","fluseason","deaths","6"
"USA-OR","fluseason","deaths","5"
"USA-PA","fluseason","deaths","5"
"USA-RI","fluseason","deaths","5"
"USA-SC","fluseason","deaths","6"
"USA-SD","fluseason","deaths","6"
"USA-TN","fluseason","deaths","5"
"USA-TX","fluseason","deaths","5"
"USA-UT","fluseason","deaths","5"
"USA-VA","fluseason","deaths","5"
"USA-VT","fluseason","deaths","5"
"USA-WA","fluseason","deaths","5"
"USA-WI","fluseason","deaths","5"
"USA-WV","fluseason","deaths","8"
"USA-WY","fluseason","deaths","10"
"UZB","fluseason","deaths","6"
"VCT","fluseason","deaths","5"
"VEN","fluseason","deaths","10"
"VGB","fluseason","deaths","12"
"VIR","fluseason","deaths","6"
"VNM","fluseason","deaths","5"
"VUT","fluseason","deaths","5"
"WSM","fluseason","deaths","7"
"XKX","fluseason","deaths","10"
"YEM","fluseason","deaths","5"
"ZAF","fluseason","deaths","5"
"ZMB","fluseason","deaths","5"
"ZWE","fluseason","deaths","5"
"ALB","fluseason","cmr","5"
"ABW","fluseason","cmr","5"
"AFG","fluseason","cmr","5"
"AGO","fluseason","cmr","6"
"AND","fluseason","cmr","5"
"ARE","fluseason","cmr","5"
"ARG","fluseason","cmr","6"
"ARM","fluseason","cmr","11"
"ASM","fluseason","cmr","12"
"ATG","fluseason","cmr","5"
"AUS","fluseason","cmr","6"
"AUT","fluseason","cmr","8"
"AZE","fluseason","cmr","5"
"BDI","fluseason","cmr","9"
"BEL","fluseason","cmr","10"
"BEN","fluseason","cmr","5"
"BES","fluseason","cmr","9"
"BFA","fluseason","cmr","5"
"BGD","fluseason","cmr","12"
"BGR","fluseason","cmr","9"
"BHR","fluseason","cmr","5"
"BHS","fluseason","cmr","10"
"BIH","fluseason","cmr","12"
"BLR","fluseason","cmr","5"
"BLZ","fluseason","cmr","5"
"BMU","fluseason","cmr","12"
"BOL","fluseason","cmr","9"
"BRA","fluseason","cmr","5"
"BRB","fluseason","cmr","5"
"BRN","fluseason","cmr","5"
"BTN","fluseason","cmr","5"
"BWA","fluseason","cmr","5"
"CAF","fluseason","cmr","5"
"CAN","fluseason","cmr","7"
"CHE","fluseason","cmr","12"
"CHL","fluseason","cmr","5"
"CHN","fluseason","cmr","12"
"CIV","fluseason","cmr","5"
"CMR","fluseason","cmr","12"
"COD","fluseason","cmr","5"
"COG","fluseason","cmr","6"
"COK","fluseason","cmr","5"
"COL","fluseason","cmr","6"
"COM","fluseason","cmr","6"
"CPV","fluseason","cmr","5"
"CRI","fluseason","cmr","6"
"CUB","fluseason","cmr","5"
"CUW","fluseason","cmr","5"
"CYM","fluseason","cmr","5"
"CYP","fluseason","cmr","5"
"CZE","fluseason","cmr","7"
"DEU","fluseason","cmr","8"
"DEU-BB","fluseason","cmr","5"
"DEU-BE","fluseason","cmr","12"
"DEU-BW","fluseason","cmr","11"
"DEU-BY","fluseason","cmr","11"
"DEU-HB","fluseason","cmr","12"
"DEU-HE","fluseason","cmr","12"
"DEU-HH","fluseason","cmr","12"
"DEU-MV","fluseason","cmr","12"
"DEU-NI","fluseason","cmr","12"
"DEU-NW","fluseason","cmr","12"
"DEU-RP","fluseason","cmr","12"
"DEU-SH","fluseason","cmr","9"
"DEU-SL","fluseason","cmr","7"
"DEU-SN","fluseason","cmr","12"
"DEU-ST","fluseason","cmr","9"
"DEU-TH","fluseason","cmr","9"
"DJI","fluseason","cmr","6"
"DMA","fluseason","cmr","5"
"DNK","fluseason","cmr","7"
"DOM","fluseason","cmr","6"
"DZA","fluseason","cmr","5"
"ECU","fluseason","cmr","5"
"EGY","fluseason","cmr","5"
"ERI","fluseason","cmr","12"
"ESH","fluseason","cmr","6"
"ESP","fluseason","cmr","8"
"EST","fluseason","cmr","5"
"ETH","fluseason","cmr","12"
"FIN","fluseason","cmr","6"
"FJI","fluseason","cmr","5"
"FLK","fluseason","cmr",
"FRA","fluseason","cmr","8"
"FRO","fluseason","cmr","10"
"FSM","fluseason","cmr","5"
"GAB","fluseason","cmr","5"
"GBR","fluseason","cmr","8"
"GBRTENW","fluseason","cmr","5"
"GBR_NIR","fluseason","cmr",
"GBR_SCO","fluseason","cmr","5"
"GEO","fluseason","cmr","10"
"GGY","fluseason","cmr","10"
"GHA","fluseason","cmr","5"
"GIB","fluseason","cmr","8"
"GIN","fluseason","cmr","5"
"GLP","fluseason","cmr","5"
"GMB","fluseason","cmr","5"
"GNB","fluseason","cmr","7"
"GNQ","fluseason","cmr","10"
"GRC","fluseason","cmr","6"
"GRD","fluseason","cmr","6"
"GRL","fluseason","cmr","5"
"GTM","fluseason","cmr","9"
"GUF","fluseason","cmr","5"
"GUM","fluseason","cmr","5"
"GUY","fluseason","cmr","5"
"HKG","fluseason","cmr","5"
"HND","fluseason","cmr","10"
"HRV","fluseason","cmr","5"
"HTI","fluseason","cmr","12"
"HUN","fluseason","cmr","7"
"IDN","fluseason","cmr","11"
"IMN","fluseason","cmr","5"
"IND","fluseason","cmr","8"
"IRL","fluseason","cmr","5"
"IRN","fluseason","cmr","6"
"IRQ","fluseason","cmr","12"
"ISL","fluseason","cmr","12"
"ISR","fluseason","cmr","6"
"ITA","fluseason","cmr","8"
"JAM","fluseason","cmr","5"
"JEY","fluseason","cmr","12"
"JOR","fluseason","cmr","5"
"JPN","fluseason","cmr","7"
"KAZ","fluseason","cmr","5"
"KEN","fluseason","cmr","5"
"KGZ","fluseason","cmr","5"
"KHM","fluseason","cmr","12"
"KIR","fluseason","cmr","5"
"KNA","fluseason","cmr","12"
"KOR","fluseason","cmr","12"
"KWT","fluseason","cmr","5"
"LAO","fluseason","cmr","7"
"LBN","fluseason","cmr","10"
"LBR","fluseason","cmr","5"
"LBY","fluseason","cmr","5"
"LCA","fluseason","cmr","5"
"LIE","fluseason","cmr","12"
"LKA","fluseason","cmr","6"
"LSO","fluseason","cmr","5"
"LTU","fluseason","cmr","5"
"LUX","fluseason","cmr","12"
"LVA","fluseason","cmr","5"
"MAC","fluseason","cmr","5"
"MAF","fluseason","cmr","12"
"MAR","fluseason","cmr","5"
"MCO","fluseason","cmr","12"
"MDA","fluseason","cmr","5"
"MDG","fluseason","cmr","5"
"MDV","fluseason","cmr","5"
"MEX","fluseason","cmr","5"
"MHL","fluseason","cmr","11"
"MKD","fluseason","cmr","8"
"MLI","fluseason","cmr","5"
"MLT","fluseason","cmr","7"
"MMR","fluseason","cmr","7"
"MNE","fluseason","cmr","5"
"MNG","fluseason","cmr","8"
"MNP","fluseason","cmr","5"
"MOZ","fluseason","cmr","5"
"MRT","fluseason","cmr","5"
"MTQ","fluseason","cmr","9"
"MUS","fluseason","cmr","10"
"MWI","fluseason","cmr","5"
"MYS","fluseason","cmr","5"
"MYT","fluseason","cmr","5"
"NAM","fluseason","cmr","5"
"NCL","fluseason","cmr","5"
"NER","fluseason","cmr","5"
"NGA","fluseason","cmr","5"
"NIC","fluseason","cmr","9"
"NLD","fluseason","cmr","5"
"NOR","fluseason","cmr","7"
"NPL","fluseason","cmr","5"
"NZL","fluseason","cmr","10"
"OMN","fluseason","cmr","5"
"PAK","fluseason","cmr","7"
"PAN","fluseason","cmr","5"
"PER","fluseason","cmr","8"
"PHL","fluseason","cmr","5"
"PLW","fluseason","cmr","5"
"PNG","fluseason","cmr","5"
"POL","fluseason","cmr","6"
"PRI","fluseason","cmr","5"
"PRK","fluseason","cmr","12"
"PRT","fluseason","cmr","8"
"PRY","fluseason","cmr","5"
"PSE","fluseason","cmr","12"
"PYF","fluseason","cmr","5"
"QAT","fluseason","cmr","5"
"REU","fluseason","cmr","9"
"ROU","fluseason","cmr","12"
"RUS","fluseason","cmr","5"
"RWA","fluseason","cmr","12"
"SAU","fluseason","cmr","5"
"SDN","fluseason","cmr","6"
"SEN","fluseason","cmr","5"
"SGP","fluseason","cmr","12"
"SLB","fluseason","cmr","8"
"SLE","fluseason","cmr","5"
"SLV","fluseason","cmr","5"
"SMR","fluseason","cmr","12"
"SOM","fluseason","cmr","12"
"SRB","fluseason","cmr","5"
"SSD","fluseason","cmr","12"
"STP","fluseason","cmr","5"
"SUR","fluseason","cmr","5"
"SVK","fluseason","cmr","11"
"SVN","fluseason","cmr","6"
"SWE","fluseason","cmr","8"
"SWZ","fluseason","cmr","5"
"SXM","fluseason","cmr","12"
"SYC","fluseason","cmr","8"
"SYR","fluseason","cmr","5"
"TCA","fluseason","cmr","10"
"TCD","fluseason","cmr","7"
"TGO","fluseason","cmr","5"
"THA","fluseason","cmr","5"
"TJK","fluseason","cmr","5"
"TKL","fluseason","cmr","6"
"TKM","fluseason","cmr","5"
"TLS","fluseason","cmr","5"
"TON","fluseason","cmr","12"
"TTO","fluseason","cmr","5"
"TUN","fluseason","cmr","5"
"TUR","fluseason","cmr","5"
"TUV","fluseason","cmr","10"
"TWN","fluseason","cmr","6"
"TZA","fluseason","cmr","5"
"UGA","fluseason","cmr","5"
"UKR","fluseason","cmr","5"
"URY","fluseason","cmr","5"
"USA","fluseason","cmr","6"
"USA-AK","fluseason","cmr","9"
"USA-AL","fluseason","cmr","5"
"USA-AR","fluseason","cmr","5"
"USA-AZ","fluseason","cmr","5"
"USA-CA","fluseason","cmr","5"
"USA-CO","fluseason","cmr","5"
"USA-CT","fluseason","cmr","5"
"USA-DC","fluseason","cmr","5"
"USA-DE","fluseason","cmr","5"
"USA-FL","fluseason","cmr","5"
"USA-GA","fluseason","cmr","5"
"USA-HI","fluseason","cmr","6"
"USA-IA","fluseason","cmr","7"
"USA-ID","fluseason","cmr","5"
"USA-IL","fluseason","cmr","5"
"USA-IN","fluseason","cmr","5"
"USA-KS","fluseason","cmr","6"
"USA-KY","fluseason","cmr","5"
"USA-LA","fluseason","cmr","6"
"USA-MA","fluseason","cmr","5"
"USA-MD","fluseason","cmr","5"
"USA-ME","fluseason","cmr","5"
"USA-MI","fluseason","cmr","6"
"USA-MN","fluseason","cmr","5"
"USA-MO","fluseason","cmr","5"
"USA-MS","fluseason","cmr","6"
"USA-MT","fluseason","cmr","7"
"USA-NC","fluseason","cmr","5"
"USA-ND","fluseason","cmr","5"
"USA-NE","fluseason","cmr","6"
"USA-NH","fluseason","cmr","5"
"USA-NJ","fluseason","cmr","5"
"USA-NM","fluseason","cmr","5"
"USA-NV","fluseason","cmr","5"
