"iso3c","chart_type","type","window"
"USA-WV","yearly","deaths","9"
"USA-WY","yearly","deaths","6"
"UZB","yearly","deaths","6"
"VCT","yearly","deaths","5"
"VEN","yearly","deaths","10"
"VGB","yearly","deaths","12"
"VIR","yearly","deaths","7"
"VNM","yearly","deaths","6"
"VUT","yearly","deaths","6"
"WLF","yearly","deaths",
"WSM","yearly","deaths","9"
"XKX","yearly","deaths","10"
"YEM","yearly","deaths","5"
"ZAF","yearly","deaths","5"
"ZMB","yearly","deaths","5"
"ZWE","yearly","deaths","5"
"ALB","yearly","cmr","5"
"ABW","yearly","cmr","5"
"AFG","yearly","cmr","7"
"AGO","yearly","cmr","6"
"AIA","yearly","cmr",
"AND","yearly","cmr","5"
"ARE","yearly","cmr","5"
"ARG","yearly","cmr","6"
"ARM","yearly","cmr","12"
"ASM","yearly","cmr","12"
"ATG","yearly","cmr","5"
"AUS","yearly","cmr","7"
"AUT","yearly","cmr","9"
"AZE","yearly","cmr","5"
"BDI","yearly","cmr","10"
"BEL","yearly","cmr","11"
"BEN","yearly","cmr","5"
"BES","yearly","cmr","9"
"BFA","yearly","cmr","5"
"BGD","yearly","cmr","12"
"BGR","yearly","cmr","10"
"BHR","yearly","cmr","5"
"BHS","yearly","cmr","9"
"BIH","yearly","cmr","12"
"BLM","yearly","cmr",
"BLR","yearly","cmr","5"
"BLZ","yearly","cmr","5"
"BMU","yearly","cmr","12"
"BOL","yearly","cmr","7"
"BRA","yearly","cmr","5"
"BRB","yearly","cmr","5"
"BRN","yearly","cmr","5"
"BTN","yearly","cmr","5"
"BWA","yearly","cmr","5"
"CAF","yearly","cmr","5"
"CAN","yearly","cmr","7"
"CHE","yearly","cmr","12"
"CHL","yearly","cmr","6"
"CHN","yearly","cmr","12"
"CIV","yearly","cmr","5"
"CMR","yearly","cmr","12"
"COD","yearly","cmr","5"
"COG","yearly","cmr","6"
"COK","yearly","cmr","5"
"COL","yearly","cmr","6"
"COM","yearly","cmr","7"
"CPV","yearly","cmr","5"
"CRI","yearly","cmr","6"
"CUB","yearly","cmr","5"
"CUW","yearly","cmr","5"
"CYM","yearly","cmr","5"
"CYP","yearly","cmr","5"
"CZE","yearly","cmr","7"
"DEU","yearly","cmr","8"
"DEU-BB","yearly","cmr","12"
"DEU-BE","yearly","cmr","11"
"DEU-BW","yearly","cmr","11"
"DEU-BY","yearly","cmr","11"
"DEU-HB","yearly","cmr","12"
"DEU-HE","yearly","cmr","12"
"DEU-HH","yearly","cmr","12"
"DEU-MV","yearly","cmr","12"
"DEU-NI","yearly","cmr","12"
"DEU-NW","yearly","cmr","12"
"DEU-RP","yearly","cmr","12"
"DEU-SH","yearly","cmr","9"
"DEU-SL","yearly","cmr","7"
"DEU-SN","yearly","cmr","12"
"DEU-ST","yearly","cmr","11"
"DEU-TH","yearly","cmr","11"
"DJI","yearly","cmr","6"
"DMA","yearly","cmr","5"
"DNK","yearly","cmr","8"
"DOM","yearly","cmr","6"
"DZA","yearly","cmr","5"
"ECU","yearly","cmr","5"
"EGY","yearly","cmr","5"
"ERI","yearly","cmr","12"
"ESH","yearly","cmr","6"
"ESP","yearly","cmr","8"
"EST","yearly","cmr","6"
"ETH","yearly","cmr","12"
"FIN","yearly","cmr","6"
"FJI","yearly","cmr","5"
"FLK","yearly","cmr",
