"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"AUT","2011-2012",79168,78150,75180,81120,1018,3988,-1952,8418940,940.4,920.21,883.01,957.4,20.19,57.39,-17,418.3,418.78,405.02,432.53,-0.48,13.28,-14.23,975.2,974.15,932.76,1015.54,1.05,42.44,-40.34,672.9,672.69,645.17,700.21,0.21,27.73,-27.31,1015.3,1013.72,970.54,1056.89,1.58,44.76,-41.59
"AUT","2012-2013",80018,78725,75750,81700,1293,4268,-1682,8465613,945.3,921.84,884.58,959.09,23.46,60.72,-13.79,416,413.88,400.16,427.61,2.12,15.84,-11.61,971.7,966.5,925.37,1007.63,5.2,46.33,-35.93,670.3,666.87,639.52,694.21,3.43,30.78,-23.91,1012.2,1005.94,963.05,1048.84,6.26,49.15,-36.64
"AUT","2013-2014",77594,79300,76310,82290,-1706,1284,-4696,8526900,910.1,923.47,886.03,960.91,-13.37,24.07,-50.81,399.6,408.99,395.24,422.75,-9.39,4.36,-23.15,930.3,958.85,917.72,999.98,-28.55,12.58,-69.68,642,661.05,633.7,688.39,-19.05,8.3,-46.39,968.7,998.17,955.27,1041.07,-29.47,13.43,-72.37
"AUT","2014-2015",82089,79875,76861,82890,2214,5228,-801,8613784,953.2,925.1,887.35,962.84,28.1,65.85,-9.64,411.2,404.1,390.24,417.96,7.1,20.96,-6.76,972.8,951.2,909.81,992.59,21.6,62.99,-19.79,669.5,655.23,627.71,682.75,14.27,41.79,-13.25,1013.6,990.4,947.23,1033.58,23.2,66.37,-19.98
"AUT","2015-2016",77470,80450,77401,83499,-2980,69,-6029,8716296,888.9,926.73,888.55,964.9,-37.83,0.35,-76,386.1,399.21,385.18,413.24,-13.11,0.92,-27.14,911.3,943.55,901.63,985.47,-32.25,9.67,-74.17,627,649.41,621.54,677.28,-22.41,5.46,-50.28,948.7,982.63,938.91,1026.35,-33.93,9.79,-77.65
"AUT","2016-2017",82667,81025,77933,84117,1642,4734,-1450,8783859,941.2,928.35,889.64,967.07,12.85,51.56,-25.87,401.6,394.32,380.05,408.59,7.28,21.55,-6.99,961.2,935.9,893.21,978.59,25.3,67.99,-17.39,660,643.59,615.2,671.97,16.41,44.8,-11.97,1001.2,974.86,930.33,1019.38,26.34,70.87,-18.18
"AUT","2017-2018",82036,81600,78456,84744,436,3580,-2708,8830527,929.1,929.98,890.61,969.35,-0.88,38.49,-40.25,393.9,389.43,374.86,404,4.47,19.04,-10.1,940.8,928.25,884.55,971.95,12.55,56.25,-31.15,646.3,637.77,608.71,666.82,8.53,37.59,-20.52,980,967.09,921.51,1012.67,12.91,58.49,-32.67
"AUT","2018-2019",81623,82175,78970,85380,-552,2653,-3757,8869054,920.4,931.61,891.49,971.74,-11.21,28.91,-51.34,384.2,384.53,369.61,399.46,-0.33,14.59,-15.26,915.7,920.6,875.67,965.53,-4.9,40.03,-49.83,629.4,631.95,602.08,661.82,-2.55,27.32,-32.42,953.4,959.31,912.45,1006.18,-5.91,40.95,-52.78
"AUT","2019-2020",83150,82750,79477,86023,400,3673,-2873,8908251,933.4,933.24,892.26,974.23,0.16,41.14,-40.83,378,379.64,364.3,394.98,-1.64,13.7,-16.98,900.1,912.95,866.59,959.31,-12.85,33.51,-59.21,618.5,626.13,595.3,656.95,-7.63,23.2,-38.45,936.4,951.54,903.19,999.9,-15.14,33.21,-63.5
"AUT","2020-2021",92056,83325,79976,86674,8731,12080,5382,8944197,1029.4,934.87,892.94,976.81,94.53,136.46,52.59,404.9,374.75,358.95,390.55,30.15,45.95,14.35,967.6,905.3,857.32,953.28,62.3,110.28,14.32,663.5,620.31,588.41,652.21,43.19,75.09,11.29,1006.3,943.77,893.73,993.82,62.53,112.57,12.48
"AUT","2021-2022",92136,83900,80468,87331,8236,11668,4805,8926406,1032,936.5,893.53,979.47,95.5,138.47,52.53,425.5,369.86,353.55,386.17,55.64,71.95,39.33,978.4,897.65,847.89,947.41,80.75,130.51,30.99,681.6,614.49,581.4,647.58,67.11,100.2,34.02,1002.7,936,884.09,987.91,66.7,118.61,14.79
"AZE","2015-2016",55703,,,,,,,9943916,560.2,,,,,,
"AZE","2016-2017",57734,,,,,,,10046072,574.8,,,,,,
"AZE","2017-2018",57660,,,,,,,10128875,569.3,,,,,,
"AZE","2018-2019",56068,,,,,,,10208082,549.3,,,,,,
"AZE","2019-2020",60984,,,,,,,10275265,593.5,,,,,,
