"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Idaho","16","2017","2017",4436,28607,15506.7
"Total","Idaho","16",,,67032,445104,15059.9
,"Illinois","17","1999","1999",30084,188400,15968.2
,"Illinois","17","2000","2000",29930,192031,15586.0
,"Illinois","17","2001","2001",29816,195123,15280.6
,"Illinois","17","2002","2002",30981,196890,15735.2
,"Illinois","17","2003","2003",30888,200243,15425.3
,"Illinois","17","2004","2004",30533,203647,14993.1
,"Illinois","17","2005","2005",31651,208046,15213.5
,"Illinois","17","2006","2006",31126,213572,14574.0
,"Illinois","17","2007","2007",30752,219926,13982.9
,"Illinois","17","2008","2008",32820,225098,14580.3
,"Illinois","17","2009","2009",31476,230810,13637.2
,"Illinois","17","2010","2010",32385,234912,13786.0
,"Illinois","17","2011","2011",33507,242913,13793.8
,"Illinois","17","2012","2012",34000,247838,13718.6
,"Illinois","17","2013","2013",34524,252707,13661.7
,"Illinois","17","2014","2014",35315,256052,13792.1
,"Illinois","17","2015","2015",35831,258717,13849.5
,"Illinois","17","2016","2016",35110,259483,13530.8
,"Illinois","17","2017","2017",36095,265897,13574.8
"Total","Illinois","17",,,616824,4292305,14370.5
,"Indiana","18","1999","1999",14799,90274,16393.4
,"Indiana","18","2000","2000",14783,91558,16146.0
,"Indiana","18","2001","2001",14963,93347,16029.4
,"Indiana","18","2002","2002",15185,94209,16118.4
,"Indiana","18","2003","2003",15373,95922,16026.6
,"Indiana","18","2004","2004",14814,97216,15238.2
,"Indiana","18","2005","2005",15578,99691,15626.3
,"Indiana","18","2006","2006",15553,103320,15053.2
,"Indiana","18","2007","2007",15374,106803,14394.7
,"Indiana","18","2008","2008",16440,109917,14956.7
,"Indiana","18","2009","2009",16243,113118,14359.3
,"Indiana","18","2010","2010",16810,115272,14582.9
,"Indiana","18","2011","2011",17588,119778,14683.8
,"Indiana","18","2012","2012",18142,121927,14879.4
,"Indiana","18","2013","2013",18382,124833,14725.3
,"Indiana","18","2014","2014",18372,126423,14532.2
